l,I
807,4.37723
808,4.39957
809,4.42354
810,4.41193
811,4.38798
812,4.42607
813,4.37137
814,4.37846
815,4.34953
816,4.3445
817,4.36045
818,4.36671
819,4.36529
820,4.35195
821,4.35311
822,4.34198
823,4.38392
824,4.38982
825,4.39662
826,4.38198
827,4.39817
828,4.41196
829,4.46596
830,4.42569
831,4.46703
832,4.47271
833,4.48266
834,4.54864
835,4.54328
836,4.48444
837,4.50604
838,4.51697
839,4.56736
840,4.54926
841,4.5211
842,4.5329
843,4.41837
844,4.48251
845,4.56461
846,4.5071
847,4.4444
848,4.42069
849,4.4632
850,4.45232
851,4.48657
852,4.56775
853,4.52783
854,4.4109
855,4.49947
856,4.53818
857,4.55978
858,4.44978
859,4.54838
860,4.52709
861,4.44481
862,4.39396
863,4.43505
864,4.37898
865,4.44389
866,4.42287
867,4.45582
868,4.3383
869,4.3487
870,4.38781
871,4.41447
872,4.47612
873,4.49072
874,4.33463
875,4.25044
876,4.23281
877,4.23986
878,4.29044
879,4.32647
880,4.42404
881,4.40804
882,4.34138
883,4.38647
884,4.48115
885,4.52178
886,4.55091
887,4.45828
888,4.40946
889,4.3191
890,4.33055
891,4.37554
892,4.41086
893,4.43796
894,4.43045
895,4.429
896,4.36949
897,4.42406
898,4.45868
899,4.40342
900,4.41572
901,4.33361
902,4.30137
903,4.29213
904,4.24804
905,4.23911
906,4.19935
907,4.23652
908,4.20814
909,4.10143
910,4.07294
911,3.98107
912,3.95823
913,4.00098
914,3.97297
915,3.98059
916,3.96112
917,3.94521
918,4.03221
919,4.14254
920,4.22781
921,4.18562
922,4.10538
923,4.19822
924,4.24934
925,4.14546
926,4.18635
927,4.13705
928,4.03411
929,4.00705
930,4.18027
931,4.22506
932,4.28806
933,4.16905
934,4.13884
935,4.09802
936,4.04129
937,4.06215
938,4.07408
939,3.84164
940,3.76546
941,3.76861
942,3.83655
943,4.1662
944,4.35614
945,4.59379
946,4.76931
947,4.56302
948,4.48363
949,4.46081
950,4.21156
951,4.25726
952,3.98402
953,3.85284
954,3.7309
955,3.57851
956,3.52586
957,3.55189
958,3.50746
959,3.57141
960,3.78269
961,4.01232
962,4.00122
963,4.09572
964,4.13676
965,4.17388
966,4.37299
967,4.54985
968,4.20826
969,3.79608
970,3.53576
971,3.61455
972,3.76658
973,3.82745
974,3.88389
975,3.83418
976,3.93197
977,4.24584
978,4.39712
979,4.37501
980,4.56557
981,4.10607
982,4.09018
983,4.31891
984,4.40669
985,4.2797
986,4.19632
987,4.31861
988,4.55435
989,4.24436
990,4.47076
991,4.30571
992,4.00869
993,3.79193
994,3.2893
995,3.25222
996,3.36764
997,3.30172
998,3.28594
999,3.37495
1000,3.3489
