
l,I
805,0.08864
806,0.1111
807,0.11916
808,0.08582
809,0.07889
810,0.08835
811,0.07483
812,0.10808
813,0.10481
814,0.1109
815,0.08103
816,0.05757
817,0.10691
818,0.09648
819,0.08284
820,0.11413
821,0.09109
822,0.08743
823,0.10117
824,0.13962
825,0.19121
826,0.1678
827,0.16233
828,0.15749
829,0.12624
830,0.12238
831,0.17514
832,0.18092
833,0.15689
834,0.10083
835,0.08175
836,0.07582
837,0.08262
838,0.05523
839,0.06431
840,0.03608
841,0.00794
842,0.01608
843,0.08689
844,0.10872
845,0.09914
846,0.0682
847,0.08986
848,0.02341
849,-0.02179
850,-0.00311
851,-0.05076
852,-0.12849
853,-0.12571
854,-0.09345
855,-0.05859
856,-0.02561
857,0.03557
858,0.04296
859,0.0751
860,0.0551
861,0.12145
862,0.19044
863,0.14764
864,0.1438
865,0.11405
866,0.10662
867,0.18779
868,0.17712
869,0.23925
870,0.282
871,0.22058
872,0.2478
873,0.21798
874,0.2076
875,0.22686
876,0.13317
877,0.07892
878,0.0844
879,0.02311
880,0.02082
881,-0.0081
882,0.02522
883,0.09115
884,0.08085
885,0.09433
886,0.13616
887,0.09948
888,0.01346
889,0.08577
890,0.13106
891,0.09464
892,0.00972
893,0.04419
894,0.02458
895,0.0747
896,0.14786
897,0.23707
898,0.15242
899,0.09426
900,0.14073
901,0.14511
902,0.0734
903,0.20929
904,0.18033
905,0.19444
906,0.16861
907,0.25939
908,0.33509
909,0.28839
910,0.38898
911,0.45866
912,0.32857
913,0.36391
914,0.40858
915,0.40266
916,0.33262
917,0.39536
918,0.50796
919,0.52175
920,0.54717
921,0.70236
922,0.70282
923,0.81047
924,1.02586
925,1.04732
926,1.0307
927,1.03882
928,1.00473
929,1.1234
930,1.12407
931,1.23804
932,1.05702
933,1.11364
934,1.322
935,1.42699
936,1.60442
937,1.89585
938,1.86907
939,2.07052
940,2.09624
941,2.59969
942,2.68517
943,2.94513
944,3.03162
945,3.14312
946,3.12869
947,3.30227
948,3.39593
949,3.57705
950,3.74185
951,3.97267
952,4.08078
953,4.64217
954,4.99166
955,5.31571
956,5.96162
957,6.50554
958,7.08882
959,7.37824
960,7.51246
961,7.83371
962,7.67651
963,8.04063
964,8.2682
965,8.16562
966,8.21499
967,8.1198
968,7.86528
969,8.10713
970,7.9828
971,8.19402
972,7.81154
973,8.12814
974,8.02427
975,7.708
976,7.62173
977,7.89426
978,7.67628
979,7.96821
980,7.98693
981,8.18361
982,7.46342
983,7.46114
984,7.43288
985,7.57063
986,7.3533
987,7.55359
988,7.2009
989,6.97618
990,7.07161
991,7.36079
992,7.98765
993,8.22993
994,8.33317
995,8.23791
996,7.90921
997,8.02552
998,8.35257
999,8.1982
1000,8.24105
