l,I
808,109.0863
809,109.22042
810,109.25325
811,108.85783
812,108.7698
813,109.12161
814,109.32196
815,109.27663
816,109.33677
817,109.52963
818,109.42952
819,109.64196
820,109.87948
821,109.67153
822,109.39857
823,109.80538
824,110.07597
825,110.40119
826,110.13816
827,110.46648
828,110.86379
829,110.92683
830,111.16934
831,111.17471
832,111.11932
833,111.21568
834,111.15131
835,111.38146
836,111.39719
837,110.92749
838,110.72745
839,110.69038
840,110.99316
841,110.89573
842,110.70443
843,111.08383
844,110.95952
845,110.50964
846,110.35326
847,110.2257
848,110.18414
849,110.03882
850,109.76707
851,109.88058
852,109.52691
853,109.92682
854,110.28939
855,110.51841
856,110.57227
857,110.79319
858,110.77951
859,110.94505
860,110.97404
861,110.90988
862,110.40798
863,110.47869
864,110.43901
865,110.50829
866,110.19754
867,109.74937
868,109.97621
869,109.74293
870,109.42222
871,109.64798
872,109.3164
873,109.28844
874,109.41811
875,109.0994
876,109.36927
877,108.88587
878,108.90773
879,109.18807
880,108.50398
881,107.746
882,107.32082
883,106.31584
884,106.12943
885,105.73474
886,105.6499
887,105.73833
888,105.27608
889,105.66597
890,105.86635
891,105.79229
892,106.29995
893,106.61794
894,106.07285
895,105.68106
896,105.14515
897,104.68572
898,104.65294
899,104.72256
900,104.67225
901,104.50805
902,103.97005
903,103.95439
904,103.67015
905,103.79158
906,103.89053
907,103.6085
908,103.26784
909,103.20193
910,103.02733
911,103.24852
912,103.46747
913,103.59867
914,103.16769
915,103.27115
916,103.1089
917,102.83841
918,102.38629
919,102.18996
920,102.29669
921,102.18432
922,102.20743
923,101.83403
924,101.63046
925,101.37103
926,101.50583
927,101.62332
928,101.30631
929,100.68501
930,100.65632
931,100.49202
932,100.85964
933,100.75948
934,100.72069
935,101.00102
936,100.93913
937,101.35834
938,101.76379
939,102.26703
940,102.6526
941,103.57924
942,104.60239
943,105.85562
944,105.89057
945,105.49792
946,105.41578
947,105.11037
948,104.39083
949,103.36216
950,103.6779
951,102.88837
952,102.13467
953,101.59683
954,101.55134
955,101.32655
956,101.3663
957,100.92926
958,101.35515
959,100.72747
960,100.86344
961,100.6877
962,101.15853
963,101.34768
964,101.72415
965,102.16933
966,102.95157
967,102.74496
968,102.98544
969,102.59918
970,102.54227
971,102.09784
972,101.7066
973,100.94158
974,100.9524
975,100.24004
976,100.13593
977,99.67597
978,100.15056
979,100.00571
980,100.41822
981,101.11316
982,101.17004
983,100.82164
984,100.89935
985,100.51709
986,100.18274
987,99.99403
988,100.67011
989,100.05277
990,99.24374
991,99.89888
992,99.3053
993,99.71836
994,99.96681
995,100.5118
996,100.18718
997,99.51686
998,99.694
999,100.77164
1000,100.08452
