Date,Time,Time since 1970-01-01T00:00:00Z,,t,,I,
2026-03-17,15:18:06.085224,1773757086.085224,s,19.764104,s,13.24,mV
2026-03-17,15:18:06.336725,1773757086.336725,s,20.015605,s,12.65,mV
2026-03-17,15:18:06.585527,1773757086.585527,s,20.264407,s,12.65,mV
2026-03-17,15:18:06.837146,1773757086.837146,s,20.516026,s,12.85,mV
2026-03-17,15:18:07.085983,1773757087.085983,s,20.764863,s,12.85,mV
2026-03-17,15:18:07.337445,1773757087.337445,s,21.016325,s,12.85,mV
2026-03-17,15:18:07.586486,1773757087.586486,s,21.265366,s,12.86,mV
2026-03-17,15:18:07.837855,1773757087.837855,s,21.516735,s,12.86,mV
2026-03-17,15:18:08.086826,1773757088.086826,s,21.765706,s,12.51,mV
2026-03-17,15:18:08.338262,1773757088.338262,s,22.017142,s,12.51,mV
2026-03-17,15:18:08.587294,1773757088.587294,s,22.266174,s,13.05,mV
2026-03-17,15:18:08.838591,1773757088.838591,s,22.517471,s,13.05,mV
2026-03-17,15:18:09.087662,1773757089.087662,s,22.766542,s,13.05,mV
2026-03-17,15:18:09.338921,1773757089.338921,s,23.017801,s,13.32,mV
2026-03-17,15:18:09.588043,1773757089.588043,s,23.266923,s,13.32,mV
2026-03-17,15:18:09.839151,1773757089.839151,s,23.518031,s,12.64,mV
2026-03-17,15:18:10.088282,1773757090.088282,s,23.767162,s,12.64,mV
2026-03-17,15:18:10.339456,1773757090.339456,s,24.018336,s,12.99,mV
2026-03-17,15:18:10.588638,1773757090.588638,s,24.267518,s,12.99,mV
2026-03-17,15:18:10.839785,1773757090.839785,s,24.518665,s,12.99,mV
2026-03-17,15:18:11.089107,1773757091.089107,s,24.767987,s,12.97,mV
2026-03-17,15:18:11.340030,1773757091.34003,s,25.01891,s,12.97,mV
2026-03-17,15:18:11.589561,1773757091.589561,s,25.268441,s,12.9,mV
2026-03-17,15:18:11.840303,1773757091.840303,s,25.519183,s,12.9,mV
2026-03-17,15:18:12.089877,1773757092.089877,s,25.768757,s,12.9,mV
2026-03-17,15:18:12.340643,1773757092.340643,s,26.019523,s,12.69,mV
2026-03-17,15:18:12.590312,1773757092.590312,s,26.269192,s,12.69,mV
2026-03-17,15:18:12.840868,1773757092.840868,s,26.519748,s,12.87,mV
2026-03-17,15:18:13.090752,1773757093.090752,s,26.769632,s,12.87,mV
2026-03-17,15:18:13.341344,1773757093.341344,s,27.020224,s,12.66,mV
2026-03-17,15:18:13.591097,1773757093.591097,s,27.269977,s,12.66,mV
2026-03-17,15:18:13.841708,1773757093.841708,s,27.520588,s,12.66,mV
2026-03-17,15:18:14.091557,1773757094.091557,s,27.770437,s,12.84,mV
2026-03-17,15:18:14.342105,1773757094.342105,s,28.020985,s,12.84,mV
2026-03-17,15:18:14.591955,1773757094.591955,s,28.270835,s,12.59,mV
2026-03-17,15:18:14.842547,1773757094.842547,s,28.521427,s,12.59,mV
2026-03-17,15:18:15.092371,1773757095.092371,s,28.771251,s,12.81,mV
2026-03-17,15:18:15.342940,1773757095.34294,s,29.02182,s,12.81,mV
2026-03-17,15:18:15.592708,1773757095.592708,s,29.271588,s,12.85,mV
2026-03-17,15:18:15.843405,1773757095.843405,s,29.522285,s,12.85,mV
2026-03-17,15:18:16.093035,1773757096.093035,s,29.771915,s,12.85,mV
2026-03-17,15:18:16.343847,1773757096.343847,s,30.022727,s,12.86,mV
2026-03-17,15:18:16.593268,1773757096.593268,s,30.272148,s,12.86,mV
2026-03-17,15:18:16.844302,1773757096.844302,s,30.523182,s,11.96,mV
2026-03-17,15:18:17.093678,1773757097.093678,s,30.772558,s,11.96,mV
2026-03-17,15:18:17.344747,1773757097.344747,s,31.023627,s,12.26,mV
2026-03-17,15:18:17.593988,1773757097.593988,s,31.272868,s,12.26,mV
2026-03-17,15:18:17.845113,1773757097.845113,s,31.523993,s,12.26,mV
2026-03-17,15:18:18.094202,1773757098.094202,s,31.773082,s,13.89,mV
2026-03-17,15:18:18.345548,1773757098.345548,s,32.024428,s,13.89,mV
2026-03-17,15:18:18.594650,1773757098.59465,s,32.27353,s,13.61,mV
2026-03-17,15:18:18.845961,1773757098.845961,s,32.524841,s,13.61,mV
2026-03-17,15:18:19.095143,1773757099.095143,s,32.774023,s,12.17,mV
2026-03-17,15:18:19.346385,1773757099.346385,s,33.025265,s,12.17,mV
2026-03-17,15:18:19.595493,1773757099.595493,s,33.274373,s,12.17,mV
2026-03-17,15:18:19.846711,1773757099.846711,s,33.525591,s,12.17,mV
2026-03-17,15:18:20.095814,1773757100.095814,s,33.774694,s,12.17,mV
