Date,Time,Time since 1970-01-01T00:00:00Z,,t,,I,
2026-04-16,13:54:23.072887,1776340463.072887,s,19.766399,s,77.8,mV
2026-04-16,13:54:23.321979,1776340463.321979,s,20.015491,s,78.1,mV
2026-04-16,13:54:23.573305,1776340463.573305,s,20.266817,s,78.1,mV
2026-04-16,13:54:23.822461,1776340463.822461,s,20.515973,s,78.1,mV
2026-04-16,13:54:24.073632,1776340464.073632,s,20.767144,s,78.5,mV
2026-04-16,13:54:24.322951,1776340464.322951,s,21.016463,s,78.5,mV
2026-04-16,13:54:24.574115,1776340464.574115,s,21.267627,s,79.0,mV
2026-04-16,13:54:24.823425,1776340464.823425,s,21.516937,s,79.0,mV
2026-04-16,13:54:25.074438,1776340465.074438,s,21.76795,s,88.7,mV
2026-04-16,13:54:25.323828,1776340465.323828,s,22.01734,s,88.7,mV
2026-04-16,13:54:25.574657,1776340465.574657,s,22.268169,s,88.7,mV
2026-04-16,13:54:25.824254,1776340465.824254,s,22.517766,s,88.7,mV
2026-04-16,13:54:26.074947,1776340466.074947,s,22.768459,s,88.7,mV
2026-04-16,13:54:26.324550,1776340466.32455,s,23.018062,s,110.1,mV
2026-04-16,13:54:26.575169,1776340466.575169,s,23.268681,s,110.1,mV
2026-04-16,13:54:26.824874,1776340466.824874,s,23.518386,s,110.1,mV
2026-04-16,13:54:27.075459,1776340467.075459,s,23.768971,s,114.8,mV
2026-04-16,13:54:27.325323,1776340467.325323,s,24.018835,s,114.8,mV
2026-04-16,13:54:27.575785,1776340467.575785,s,24.269297,s,129.6,mV
2026-04-16,13:54:27.825781,1776340467.825781,s,24.519293,s,129.6,mV
2026-04-16,13:54:28.075983,1776340468.075983,s,24.769495,s,129.6,mV
2026-04-16,13:54:28.326264,1776340468.326264,s,25.019776,s,133.8,mV
2026-04-16,13:54:28.576283,1776340468.576283,s,25.269795,s,133.8,mV
2026-04-16,13:54:28.826718,1776340468.826718,s,25.52023,s,134.1,mV
2026-04-16,13:54:29.076508,1776340469.076508,s,25.77002,s,134.1,mV
2026-04-16,13:54:29.327140,1776340469.32714,s,26.020652,s,126.7,mV
2026-04-16,13:54:29.577032,1776340469.577032,s,26.270544,s,126.7,mV
2026-04-16,13:54:29.827556,1776340469.827556,s,26.521068,s,126.7,mV
2026-04-16,13:54:30.084681,1776340470.084681,s,26.778193,s,123.2,mV
2026-04-16,13:54:30.327978,1776340470.327978,s,27.02149,s,123.2,mV
2026-04-16,13:54:30.585342,1776340470.585342,s,27.278854,s,123.2,mV
2026-04-16,13:54:30.828211,1776340470.828211,s,27.521723,s,123.2,mV
2026-04-16,13:54:31.085872,1776340471.085872,s,27.779384,s,96.7,mV
2026-04-16,13:54:31.328630,1776340471.32863,s,28.022142,s,96.7,mV
2026-04-16,13:54:31.586390,1776340471.58639,s,28.279902,s,95.3,mV
2026-04-16,13:54:31.829060,1776340471.82906,s,28.522572,s,95.3,mV
2026-04-16,13:54:32.086785,1776340472.086785,s,28.780297,s,95.3,mV
2026-04-16,13:54:32.329466,1776340472.329466,s,29.022978,s,178.0,mV
2026-04-16,13:54:32.587275,1776340472.587275,s,29.280787,s,178.0,mV
2026-04-16,13:54:32.829676,1776340472.829676,s,29.523188,s,230.0,mV
2026-04-16,13:54:33.087789,1776340473.087789,s,29.781301,s,230.0,mV
2026-04-16,13:54:33.329862,1776340473.329862,s,30.023374,s,282.4,mV
2026-04-16,13:54:33.588319,1776340473.588319,s,30.281831,s,282.4,mV
2026-04-16,13:54:33.830155,1776340473.830155,s,30.523667,s,262.9,mV
2026-04-16,13:54:34.088790,1776340474.08879,s,30.782302,s,262.9,mV
2026-04-16,13:54:34.330542,1776340474.330542,s,31.024054,s,262.9,mV
2026-04-16,13:54:34.589327,1776340474.589327,s,31.282839,s,126.1,mV
2026-04-16,13:54:34.830901,1776340474.830901,s,31.524413,s,126.1,mV
2026-04-16,13:54:35.089693,1776340475.089693,s,31.783205,s,55.3,mV
2026-04-16,13:54:35.331378,1776340475.331378,s,32.02489,s,55.3,mV
2026-04-16,13:54:35.590127,1776340475.590127,s,32.283639,s,55.3,mV
2026-04-16,13:54:35.831863,1776340475.831863,s,32.525375,s,136.9,mV
2026-04-16,13:54:36.090557,1776340476.090557,s,32.784069,s,136.9,mV
2026-04-16,13:54:36.332321,1776340476.332321,s,33.025833,s,209.4,mV
2026-04-16,13:54:36.590981,1776340476.590981,s,33.284493,s,209.4,mV
2026-04-16,13:54:36.832771,1776340476.832771,s,33.526283,s,269.0,mV
2026-04-16,13:54:37.091377,1776340477.091377,s,33.784889,s,269.0,mV
2026-04-16,13:54:37.333197,1776340477.333197,s,34.026709,s,269.0,mV
2026-04-16,13:54:37.591867,1776340477.591867,s,34.285379,s,233.3,mV
2026-04-16,13:54:37.833660,1776340477.83366,s,34.527172,s,233.3,mV
2026-04-16,13:54:38.092084,1776340478.092084,s,34.785596,s,101.0,mV
2026-04-16,13:54:38.334093,1776340478.334093,s,35.027605,s,101.0,mV
2026-04-16,13:54:38.592528,1776340478.592528,s,35.28604,s,53.0,mV
2026-04-16,13:54:38.834454,1776340478.834454,s,35.527966,s,53.0,mV
2026-04-16,13:54:39.092810,1776340479.09281,s,35.786322,s,53.0,mV
2026-04-16,13:54:39.334931,1776340479.334931,s,36.028443,s,87.5,mV
2026-04-16,13:54:39.593233,1776340479.593233,s,36.286745,s,87.5,mV
2026-04-16,13:54:39.835324,1776340479.835324,s,36.528836,s,214.1,mV
2026-04-16,13:54:40.093578,1776340480.093578,s,36.78709,s,214.1,mV
2026-04-16,13:54:40.335669,1776340480.335669,s,37.029181,s,259.6,mV
2026-04-16,13:54:40.594065,1776340480.594065,s,37.287577,s,259.6,mV
2026-04-16,13:54:40.835922,1776340480.835922,s,37.529434,s,259.6,mV
2026-04-16,13:54:41.094425,1776340481.094425,s,37.787937,s,155.0,mV
2026-04-16,13:54:41.336148,1776340481.336148,s,38.02966,s,155.0,mV
2026-04-16,13:54:41.594742,1776340481.594742,s,38.288254,s,92.5,mV
2026-04-16,13:54:41.836607,1776340481.836607,s,38.530119,s,92.5,mV
2026-04-16,13:54:42.094975,1776340482.094975,s,38.788487,s,92.5,mV
2026-04-16,13:54:42.336884,1776340482.336884,s,39.030396,s,56.8,mV
2026-04-16,13:54:42.595244,1776340482.595244,s,39.288756,s,56.8,mV
2026-04-16,13:54:42.837293,1776340482.837293,s,39.530805,s,149.2,mV
2026-04-16,13:54:43.095656,1776340483.095656,s,39.789168,s,149.2,mV
