T;U_B1;Leistungsfaktor cos&j_1;U_A1
20,8;5,03624612186497;0,741398077610513;5,61888556566157
21;5,009513449428;0,740378455469052;5,67647998322904
21,2;4,96057204362561;0,738352706876162;5,73447905218948
21,4;4,89933158706369;0,736073960798028;5,79117000268512
21,601;4,81719316614977;0,73309074263828;5,84863445600766
21,8;4,71734300215704;0,729378648846215;5,9066911210931
22;4,60403627266337;0,725332885234512;5,96245545056732
22,2;4,48420561526788;0,720985770742145;6,02030107220561
22,4;4,40031532960991;0,717926276938075;6,07773189602832
22,6;4,35329760067009;0,715878147482538;6,10563673993139
22,8;4,27657573299012;0,713102465418796;6,16288690469004
23;4,19694233937041;0,710216388379549;6,220848012932
23,2;4,18800967047594;0,709918096058878;6,30550553088331
23,4;4,17852844910741;0,709483684041268;6,3341771367716
23,6;4,1627665079848;0,708834566205423;6,3918287680444
23,8;4,17782239928889;0,709380189489129;6,44875375557169
24;4,21218173871926;0,710534979272314;6,50607024247356
24,2;4,25222000841913;0,712071352952995;6,56283665803134
24,4;4,31708234806796;0,714535869085501;6,61951093359623
24,6;4,39258466053871;0,717145662959584;6,6770521190118
24,8;4,43142753523061;0,720659620425241;6,73331827556072
25;4,54131864109974;0,724688537873212;6,7905541011025
25,2;4,66100579274474;0,72925982425942;6,84796137547519
25,4;4,79327914897516;0,734195557032864;6,9038883971281
25,6;4,92934833421214;0,739183449073709;6,96110982530803
25,8;5,0659007096468;0,744725299527076;7,01880509773565
26;5,20714413090323;0,749533062815585;7,07508480514545
26,2;5,34504911109337;0,754541998857836;7,13204914453062
26,4;5,48070935189963;0,759136470120491;7,189775726683
26,6;5,60745263020563;0,761399303921623;7,24508108995338
26,8;5,72963131449136;0,765756286399737;7,30239686678285
27;5,84032533340395;0,769839851845595;7,35965352445344
27,2;5,93829941986761;0,773619319908957;7,41567259255693
27,4;6,02540247618364;0,777868195333941;7,47249456339715
27,6;6,08776026137692;0,781702618080868;7,52904376398491
27,8;6,13618366739458;0,784706162137974;7,58548449342559
28;6,1617367681523;0,786350614653404;7,64276945877605
28,2;6,16681441264451;0,786631096253107;7,69838457080445
28,4;6,17550402801261;0,787078398781979;7,75502095419477
28,6;6,19658978793982;0,788312580966904;7,81235399863575
28,8;6,17831287650601;0,786868342044986;7,86773156634109
29;6,14440395807437;0,784400499932994;7,90229871619645
29,2;6,14512611750158;0,784637510870793;7,90439118465173
29,4;6,14644002655196;0,784617073964011;7,90522453824052
29,6;6,14746899138174;0,784501560987364;7,90521030713288
29,8;6,14546377419963;0,784276742126239;7,90521188836833
30;6,14599463065174;0,784364223025477;7,90506325085385
30,2;6,14847135473526;0,784117238426173;7,90436271941009
30,4;6,14859740103383;0,784157364345312;7,90437695204372
30,6;6,14868888463224;0,784197354462987;7,90440067304283
30,8;6,15007520279224;0,784324884481641;7,90436588221977
