Lam,int,
715,-8.53917,
716,-5.92347,
717,1.12209,
718,4.60606,
719,-9.1729,
720,-8.34298,
721,-4.94987,
722,1.48737,
723,0.25075,
724,-4.87677,
725,-7.45105,
726,15.52896,
727,-2.06229,
728,52.65138,
729,-5.76866,
730,-3.14905,
731,-7.32938,
732,2.61802,
733,-10.1639,
734,-5.04359,
735,-8.94664,
736,1.59515,
737,-2.8253,
738,-9.45831,
739,-7.80446,
740,-5.07373,
741,5.17943,
742,-7.38611,
743,-6.83863,
744,-3.35562,
745,-1.40862,
746,-0.25016,
747,-10.64182,
748,0.00181,
749,-6.98445,
750,-9.18603,
751,-7.68198,
752,-3.45204,
753,-5.37525,
754,-9.01202,
755,-9.02337,
756,-6.95234,
757,-8.78732,
758,17.44552,
759,-9.70043,
760,-2.33555,
761,-8.34862,
762,-11.59324,
763,-4.45283,
764,-10.90803,
765,2.64089,
766,-9.15352,
767,-1.98255,
768,-4.11119,
769,-3.81078,
770,-1.80285,
771,0.93969,
772,-7.25938,
773,-3.89961,
774,9.72194,
775,-0.89758,
776,-3.30456,
777,-2.60409,
778,4.08712,
779,-5.10971,
780,-10.50772,
781,-6.30167,
782,1.88037,
783,0.364,
784,-7.59724,
785,-1.68165,
786,-2.31183,
787,-7.58431,
788,-7.58841,
789,-1.2319,
790,-1.91827,
791,-4.02443,
792,-6.40531,
793,-7.85915,
794,-23.5046,
795,-2.67091,
796,-1.76702,
797,-3.43396,
798,-7.61419,
799,-7.01905,
800,-10.26226,
801,-9.15858,
802,-4.29846,
803,-3.80574,
804,-2.70406,
805,-11.13986,
806,5.45514,
807,3.60494,
808,-3.40239,
809,-8.6561,
810,-0.06397,
811,-6.57834,
812,-6.36077,
813,-1.53323,
814,-3.70836,
815,-4.45888,
816,-2.06998,
817,0.03852,
818,-7.60261,
819,-10.4507,
820,-1.57966,
821,-5.57216,
822,-8.59087,
823,-3.6456,
824,-7.1688,
825,-6.41028,
826,-2.75383,
827,8.62912,
828,-9.59974,
829,-1.48618,
830,-2.0568,
831,-5.36354,
832,-3.75644,
833,-7.42957,
834,-7.75347,
835,-10.3857,
836,-6.50408,
837,-2.31346,
838,-1.77169,
839,-2.90801,
840,-8.94446,
841,-1.60921,
842,16.96326,
843,-6.01233,
844,-4.56503,
845,-1.25919,
846,-0.89487,
847,-2.76914,
848,-3.7588,
849,-6.17695,
850,-0.10566,
851,-2.89639,
852,-8.53044,
853,3.63282,
854,-8.92153,
855,-0.77477,
856,-3.85038,
857,-2.63889,
858,-2.66361,
859,-5.52069,
860,-6.63265,
861,-2.23543,
862,-5.49383,
863,-0.37541,
864,-0.56602,
865,-8.23028,
866,-11.67305,
867,-2.64131,
868,-3.76674,
869,-8.16599,
870,-7.84294,
871,-5.99537,
872,-5.60346,
873,-7.7894,
874,-5.50218,
875,-1.77712,
876,-4.03464,
877,-4.67524,
878,1.83827,
879,-1.69503,
880,-3.60367,
881,-0.0566,
882,-3.65113,
883,8.73145,
884,22.52897,
885,0.82575,
886,-7.38942,
887,-5.19356,
888,-8.97777,
889,-11.3816,
890,-23.92125,
891,-20.39957,
892,7.33651,
893,-5.47708,
894,0.0905,
895,-2.42941,
896,-5.88545,
897,12.46691,
898,-7.88723,
899,-9.36471,
900,0.10494,
901,-7.63762,
902,-4.40252,
903,-6.27234,
904,-3.83544,
905,-5.99295,
906,-9.21831,
907,-10.38856,
908,-8.95833,
909,-0.74237,
910,-8.09745,
911,-2.39503,
912,-6.76799,
913,-6.23222,
914,-8.58477,
915,-7.20291,
916,-1.59914,
917,-15.11582,
918,1.34893,
919,-2.36268,
920,-11.46799,
921,-6.35524,
922,-6.18914,
923,-5.68962,
924,-9.56601,
925,15.11952,
926,-5.59579,
927,-10.1119,
928,-8.60196,
929,1.89104,
930,-2.31794,
931,3.07517,
932,-3.77904,
933,-3.83156,
934,-6.03129,
935,-10.13722,
936,-7.41563,
937,-10.25262,
938,-2.20001,
939,-4.03644,
940,-11.11654,
941,-3.74392,
942,-7.55502,
943,-7.77274,
944,-3.5632,
945,-5.19997,
946,-11.86799,
947,-2.06664,
948,0.44,
949,-6.14101,
950,-4.30737,
951,-2.54233,
952,-11.21743,
953,-4.06833,
954,-4.06485,
955,-4.92715,
956,-5.57285,
957,-2.8627,
958,-2.9404,
959,2.27896,
960,-1.19389,
961,-7.48264,
962,-5.6596,
963,-7.44992,
964,-8.37587,
965,-11.71678,
966,-4.54244,
967,1.6227,
968,1.63021,
969,-9.62102,
970,1.73841,
971,-3.83923,
972,-4.31704,
973,-0.52811,
974,-9.03789,
975,3.24323,
976,-14.02783,
977,5.11291,
978,-3.42301,
979,-5.75924,
980,-6.04171,
981,2.16848,
982,-5.67303,
983,-9.15139,
984,2.29342,
985,2.7447,
986,-5.65151,
987,-5.45219,
988,-8.91616,
989,-9.19155,
990,-7.40929,
991,-6.38126,
992,-3.85499,
993,-7.72606,
994,-4.21974,
995,-3.85312,
996,-1.64528,
997,-7.34442,
998,-11.75189,
999,-8.37188,
1000,-4.76539,

