time (us),channelA(1),channelB(1),channelA(2),channelB(2)
160,-0.062,0.7,-0.062,0.6
161,-0.066,0.55,-0.066,0.55
162,-0.07,0.4,-0.07,0.5
163,-0.076,0.25,-0.076,0.45
164,-0.078,0.1,-0.078,0.4
165,-0.084,-0.1,-0.082,0.35
166,-0.086,-0.2,-0.086,0.3
167,-0.088,-0.4,-0.09,0.25
168,-0.092,-0.55,-0.092,0.15
169,-0.094,-0.7,-0.094,0.05
170,-0.096,-0.85,-0.096,0
171,-0.098,-1,-0.098,-0.1
172,-0.098,-1.15,-0.098,-0.15
173,-0.1,-1.25,-0.098,-0.25
174,-0.1,-1.45,-0.1,-0.3
175,-0.1,-1.55,-0.098,-0.35
176,-0.1,-1.7,-0.1,-0.45
177,-0.098,-1.8,-0.098,-0.5
178,-0.096,-1.9,-0.096,-0.55
179,-0.096,-2,-0.094,-0.6
180,-0.094,-2.1,-0.092,-0.7
181,-0.09,-2.2,-0.09,-0.75
182,-0.088,-2.3,-0.088,-0.75
183,-0.084,-2.35,-0.084,-0.8
184,-0.082,-2.4,-0.082,-0.8
185,-0.078,-2.45,-0.078,-0.85
186,-0.072,-2.5,-0.074,-0.85
187,-0.07,-2.5,-0.068,-0.85
188,-0.064,-2.55,-0.064,-0.85
189,-0.06,-2.55,-0.058,-0.8
190,-0.054,-2.55,-0.056,-0.8
191,-0.05,-2.55,-0.05,-0.8
192,-0.044,-2.55,-0.044,-0.75
193,-0.038,-2.5,-0.038,-0.7
194,-0.032,-2.45,-0.032,-0.65
195,-0.026,-2.4,-0.026,-0.55
196,-0.02,-2.35,-0.02,-0.5
197,-0.014,-2.3,-0.014,-0.45
198,-0.008,-2.2,-0.008,-0.35
199,0,-2.1,-0.002,-0.2
200,0.006,-1.95,0.006,-0.05
201,0.012,-1.85,0.012,0.05
202,0.018,-1.75,0.018,0.15
203,0.024,-1.65,0.024,0.25
204,0.03,-1.5,0.03,0.35
205,0.036,-1.4,0.036,0.45
206,0.042,-1.3,0.042,0.6
207,0.046,-1.15,0.048,0.65
208,0.052,-1,0.052,0.7
209,0.058,-0.85,0.058,0.7
210,0.062,-0.75,0.062,0.7
211,0.068,-0.55,0.068,0.7
212,0.072,-0.4,0.072,0.7
213,0.076,-0.25,0.076,0.75
214,0.08,-0.1,0.08,0.75
215,0.084,0.05,0.084,0.75
216,0.088,0.2,0.088,0.75
217,0.09,0.35,0.09,0.75
218,0.092,0.5,0.092,0.75
219,0.096,0.6,0.094,0.75
220,0.096,0.75,0.096,0.75
221,0.098,0.9,0.098,0.75
222,0.1,1.05,0.098,0.75
223,0.1,1.15,0.1,0.75
224,0.1,1.3,0.1,0.75
225,0.1,1.4,0.1,0.75
226,0.1,1.5,0.098,0.75
227,0.098,1.6,0.098,0.75
228,0.098,1.7,0.098,0.75
229,0.096,1.8,0.096,0.75
230,0.094,1.9,0.094,0.75
231,0.092,1.95,0.092,0.75
232,0.088,2.05,0.09,0.75
233,0.086,2.1,0.086,0.75
234,0.082,2.1,0.082,0.75
235,0.078,2.15,0.078,0.75
236,0.074,2.2,0.074,0.75
237,0.07,2.2,0.07,0.75
238,0.064,2.25,0.066,0.75
239,0.06,2.25,0.062,0.75
240,0.056,2.25,0.054,0.75
241,0.05,2.25,0.05,0.75
242,0.044,2.2,0.044,0.75
243,0.04,2.2,0.04,0.75
244,0.034,2.2,0.032,0.7
245,0.026,2.15,0.026,0.7
246,0.02,2.1,0.022,0.7
247,0.014,2.1,0.014,0.7
248,0.008,2,0.008,0.7
249,0.002,1.95,0.002,0.7
250,-0.004,1.8,-0.004,0.7
251,-0.01,1.7,-0.012,0.7
252,-0.018,1.65,-0.016,0.7
253,-0.022,1.55,-0.022,0.7
254,-0.028,1.45,-0.03,0.7
255,-0.034,1.3,-0.034,0.65
256,-0.042,1.2,-0.04,0.65
257,-0.046,1.1,-0.046,0.65
258,-0.052,0.95,-0.052,0.65
259,-0.056,0.8,-0.056,0.6
260,-0.062,0.65,-0.062,0.6
261,-0.066,0.55,-0.066,0.55
262,-0.07,0.4,-0.072,0.5
263,-0.076,0.25,-0.076,0.5
264,-0.078,0.1,-0.078,0.4
265,-0.082,-0.1,-0.084,0.35
266,-0.086,-0.25,-0.086,0.3
267,-0.088,-0.4,-0.09,0.25
268,-0.092,-0.55,-0.092,0.15
269,-0.094,-0.7,-0.094,0.1
270,-0.096,-0.85,-0.096,0
271,-0.096,-1,-0.098,-0.1
272,-0.098,-1.15,-0.098,-0.15
273,-0.098,-1.3,-0.098,-0.25
274,-0.1,-1.4,-0.1,-0.3
275,-0.1,-1.55,-0.098,-0.35
276,-0.098,-1.7,-0.1,-0.45
277,-0.098,-1.8,-0.098,-0.5
278,-0.096,-1.9,-0.096,-0.6
279,-0.094,-2,-0.096,-0.65
280,-0.092,-2.15,-0.092,-0.65
281,-0.09,-2.2,-0.09,-0.7
282,-0.088,-2.25,-0.088,-0.8
283,-0.086,-2.35,-0.086,-0.8
284,-0.082,-2.4,-0.08,-0.85
285,-0.078,-2.45,-0.078,-0.85
286,-0.074,-2.5,-0.074,-0.85
287,-0.068,-2.55,-0.07,-0.85
288,-0.064,-2.55,-0.064,-0.85
289,-0.06,-2.55,-0.06,-0.85
290,-0.054,-2.55,-0.056,-0.8
291,-0.048,-2.55,-0.048,-0.75
292,-0.044,-2.55,-0.044,-0.7
293,-0.038,-2.5,-0.038,-0.7
294,-0.032,-2.5,-0.032,-0.65
295,-0.026,-2.45,-0.026,-0.6
296,-0.02,-2.35,-0.02,-0.55
297,-0.014,-2.3,-0.014,-0.45
298,-0.008,-2.25,-0.008,-0.35
299,-0.002,-2.1,0,-0.2
300,0.006,-1.95,0.006,-0.05
301,0.01,-1.85,0.01,0.05
302,0.018,-1.75,0.018,0.15
303,0.024,-1.65,0.024,0.3
304,0.03,-1.55,0.03,0.35
305,0.036,-1.4,0.036,0.45
306,0.042,-1.25,0.042,0.6
307,0.048,-1.15,0.048,0.65
308,0.052,-1,0.052,0.7
309,0.058,-0.85,0.058,0.7
310,0.062,-0.75,0.062,0.7
311,0.068,-0.55,0.068,0.7
312,0.072,-0.4,0.072,0.7
313,0.076,-0.25,0.076,0.75
314,0.08,-0.15,0.08,0.75
315,0.084,0.05,0.084,0.75
316,0.088,0.2,0.088,0.75
317,0.09,0.3,0.09,0.75
318,0.094,0.45,0.092,0.75
319,0.094,0.6,0.094,0.75
320,0.098,0.75,0.098,0.75
321,0.098,0.9,0.098,0.75
322,0.098,1.05,0.098,0.75
323,0.1,1.15,0.1,0.75
324,0.1,1.3,0.1,0.75
325,0.1,1.4,0.1,0.75
326,0.1,1.5,0.1,0.75
327,0.1,1.65,0.1,0.75
328,0.098,1.7,0.098,0.75
329,0.096,1.8,0.096,0.75
330,0.094,1.9,0.094,0.75
331,0.092,1.95,0.092,0.75
332,0.088,2,0.088,0.75
333,0.086,2.1,0.086,0.75
334,0.082,2.1,0.082,0.75
335,0.078,2.15,0.078,0.75
336,0.074,2.2,0.074,0.75
337,0.07,2.2,0.07,0.75
338,0.064,2.25,0.066,0.75
339,0.06,2.2,0.06,0.75
340,0.054,2.25,0.056,0.75
341,0.05,2.25,0.05,0.75
342,0.044,2.2,0.044,0.75
343,0.038,2.2,0.038,0.7
344,0.034,2.2,0.032,0.7
345,0.028,2.15,0.028,0.7
346,0.022,2.1,0.02,0.7
347,0.014,2.05,0.014,0.7
348,0.01,2.05,0.008,0.7
349,0.002,1.9,0.002,0.7
350,-0.004,1.8,-0.004,0.7
351,-0.01,1.75,-0.01,0.7
352,-0.016,1.65,-0.016,0.7
353,-0.022,1.55,-0.024,0.7
354,-0.028,1.45,-0.028,0.7
355,-0.034,1.35,-0.034,0.65
356,-0.04,1.2,-0.04,0.65
357,-0.046,1.1,-0.046,0.65
358,-0.052,0.95,-0.052,0.65
359,-0.056,0.8,-0.056,0.6
360,-0.062,0.65,-0.062,0.6
361,-0.068,0.55,-0.066,0.55
362,-0.07,0.4,-0.072,0.5
363,-0.076,0.25,-0.076,0.45
364,-0.08,0.05,-0.08,0.4
365,-0.082,-0.1,-0.082,0.35
366,-0.086,-0.25,-0.086,0.3
367,-0.088,-0.4,-0.09,0.2
368,-0.092,-0.55,-0.092,0.15
369,-0.094,-0.7,-0.094,0.1
370,-0.096,-0.85,-0.096,0
371,-0.098,-1,-0.098,-0.05
372,-0.098,-1.15,-0.098,-0.15
373,-0.098,-1.3,-0.098,-0.25
374,-0.1,-1.4,-0.098,-0.3
375,-0.1,-1.55,-0.1,-0.35
376,-0.098,-1.65,-0.1,-0.45
377,-0.098,-1.8,-0.098,-0.5
378,-0.096,-1.95,-0.098,-0.55
379,-0.096,-2,-0.094,-0.6
380,-0.092,-2.1,-0.092,-0.65
381,-0.09,-2.2,-0.09,-0.7
382,-0.088,-2.3,-0.088,-0.75
383,-0.084,-2.35,-0.084,-0.75
384,-0.08,-2.4,-0.082,-0.85
385,-0.078,-2.45,-0.078,-0.85
386,-0.074,-2.5,-0.074,-0.85
387,-0.068,-2.55,-0.068,-0.85
388,-0.064,-2.55,-0.064,-0.85
389,-0.06,-2.6,-0.06,-0.85
390,-0.054,-2.55,-0.054,-0.8
391,-0.048,-2.55,-0.048,-0.8
392,-0.044,-2.55,-0.044,-0.75
393,-0.038,-2.5,-0.038,-0.7
394,-0.032,-2.45,-0.032,-0.6
395,-0.026,-2.45,-0.026,-0.6
396,-0.02,-2.4,-0.02,-0.5
397,-0.014,-2.3,-0.014,-0.45
398,-0.006,-2.2,-0.008,-0.35
399,-0.002,-2.1,-0.002,-0.2
400,0.006,-1.95,0.006,-0.05
401,0.012,-1.85,0.012,0.05
402,0.018,-1.75,0.018,0.15
403,0.024,-1.65,0.024,0.25
404,0.03,-1.5,0.03,0.4
405,0.036,-1.4,0.036,0.5
406,0.042,-1.3,0.042,0.6
407,0.048,-1.15,0.046,0.65
408,0.052,-1,0.052,0.7
409,0.058,-0.85,0.058,0.7
410,0.062,-0.7,0.062,0.7
411,0.068,-0.55,0.068,0.7
412,0.072,-0.4,0.072,0.75
413,0.076,-0.25,0.076,0.75
414,0.08,-0.1,0.08,0.75
415,0.084,0.05,0.084,0.75
416,0.088,0.2,0.086,0.75
417,0.09,0.3,0.09,0.75
418,0.092,0.5,0.092,0.75
419,0.096,0.6,0.094,0.75
420,0.096,0.75,0.096,0.75
421,0.098,0.9,0.098,0.75
422,0.1,1.05,0.1,0.75
423,0.1,1.2,0.1,0.75
424,0.1,1.3,0.1,0.75
425,0.1,1.4,0.1,0.75
426,0.1,1.5,0.1,0.75
427,0.098,1.6,0.098,0.75
428,0.098,1.7,0.098,0.75
429,0.096,1.8,0.096,0.75
430,0.094,1.9,0.094,0.75
431,0.092,1.95,0.092,0.75
432,0.088,2.05,0.088,0.75
433,0.086,2.05,0.086,0.75
434,0.082,2.15,0.082,0.75
435,0.078,2.15,0.078,0.75
436,0.074,2.2,0.074,0.75
437,0.07,2.2,0.07,0.75
438,0.066,2.2,0.066,0.75
439,0.06,2.25,0.06,0.75
440,0.054,2.25,0.056,0.75
441,0.05,2.2,0.05,0.7
442,0.044,2.2,0.044,0.75
443,0.038,2.2,0.04,0.7
444,0.034,2.2,0.032,0.7
445,0.028,2.15,0.028,0.7
446,0.02,2.1,0.02,0.7
447,0.014,2.1,0.016,0.7
448,0.01,2,0.008,0.7
449,0.002,1.95,0.002,0.7
450,-0.004,1.8,-0.004,0.7
451,-0.01,1.75,-0.01,0.7
452,-0.016,1.65,-0.016,0.7
453,-0.022,1.55,-0.022,0.7
454,-0.028,1.45,-0.028,0.7
455,-0.034,1.3,-0.036,0.65
456,-0.04,1.2,-0.04,0.65
457,-0.046,1.1,-0.046,0.65
458,-0.052,0.95,-0.052,0.65
459,-0.056,0.8,-0.056,0.6
460,-0.062,0.7,-0.062,0.6
461,-0.066,0.55,-0.066,0.55
462,-0.07,0.35,-0.072,0.55
463,-0.076,0.2,-0.076,0.45
464,-0.078,0.05,-0.08,0.4
465,-0.084,-0.05,-0.082,0.35
466,-0.086,-0.25,-0.086,0.3
467,-0.09,-0.4,-0.09,0.25
468,-0.092,-0.55,-0.092,0.15
469,-0.094,-0.7,-0.094,0.05
470,-0.096,-0.85,-0.096,0
471,-0.098,-1,-0.098,-0.05
472,-0.098,-1.15,-0.098,-0.15
473,-0.098,-1.3,-0.1,-0.2
474,-0.1,-1.4,-0.1,-0.3
475,-0.098,-1.55,-0.1,-0.4
476,-0.098,-1.7,-0.098,-0.45
477,-0.098,-1.8,-0.098,-0.55
478,-0.096,-1.9,-0.096,-0.55
479,-0.094,-2,-0.094,-0.6
480,-0.092,-2.1,-0.094,-0.7
481,-0.092,-2.2,-0.09,-0.7
482,-0.088,-2.3,-0.088,-0.75
483,-0.084,-2.35,-0.084,-0.8
484,-0.08,-2.4,-0.082,-0.8
485,-0.078,-2.45,-0.078,-0.8
486,-0.074,-2.5,-0.074,-0.85
487,-0.068,-2.55,-0.07,-0.85
488,-0.064,-2.55,-0.064,-0.85
489,-0.058,-2.55,-0.06,-0.85
490,-0.054,-2.55,-0.054,-0.8
491,-0.048,-2.55,-0.05,-0.8
492,-0.044,-2.5,-0.044,-0.75
493,-0.038,-2.5,-0.038,-0.7
494,-0.032,-2.5,-0.032,-0.65
495,-0.026,-2.4,-0.026,-0.55
496,-0.02,-2.35,-0.02,-0.45
497,-0.014,-2.3,-0.014,-0.45
498,-0.008,-2.25,-0.008,-0.35
499,-0.002,-2.1,-0.002,-0.25
500,0.006,-1.95,0.006,-0.05
