time (us),channelA(1),channelB(1),channelA(2),channelB(2)
0,0.004,-1.95,0.004,-0.05
1,0.012,-1.85,0.012,0.05
2,0.018,-1.75,0.018,0.15
3,0.024,-1.6,0.024,0.25
4,0.03,-1.5,0.03,0.4
5,0.036,-1.4,0.036,0.5
6,0.042,-1.25,0.04,0.6
7,0.046,-1.1,0.048,0.65
8,0.052,-1,0.052,0.7
9,0.056,-0.85,0.058,0.7
10,0.062,-0.7,0.062,0.7
11,0.068,-0.55,0.068,0.7
12,0.072,-0.4,0.072,0.75
13,0.076,-0.25,0.076,0.75
14,0.08,-0.1,0.08,0.75
15,0.084,0.05,0.084,0.75
16,0.086,0.2,0.086,0.75
17,0.09,0.35,0.09,0.75
18,0.094,0.5,0.092,0.75
19,0.094,0.65,0.096,0.75
20,0.098,0.8,0.096,0.75
21,0.098,0.95,0.098,0.75
22,0.1,1.05,0.1,0.75
23,0.1,1.2,0.1,0.75
24,0.1,1.3,0.1,0.75
25,0.1,1.4,0.1,0.75
26,0.1,1.55,0.1,0.75
27,0.1,1.65,0.098,0.75
28,0.098,1.75,0.098,0.75
29,0.096,1.85,0.096,0.75
30,0.094,1.9,0.094,0.75
31,0.092,2,0.092,0.75
32,0.09,2.05,0.088,0.75
33,0.086,2.1,0.086,0.75
34,0.082,2.15,0.082,0.75
35,0.078,2.2,0.078,0.75
36,0.074,2.2,0.074,0.75
37,0.07,2.25,0.07,0.75
38,0.066,2.25,0.064,0.75
39,0.06,2.25,0.06,0.75
40,0.056,2.25,0.056,0.75
41,0.05,2.25,0.05,0.75
42,0.044,2.25,0.044,0.75
43,0.04,2.2,0.038,0.75
44,0.032,2.2,0.034,0.7
45,0.028,2.15,0.026,0.7
46,0.022,2.15,0.022,0.7
47,0.014,2.1,0.016,0.7
48,0.008,2.05,0.008,0.7
49,0.002,1.95,0.002,0.7
50,-0.004,1.8,-0.004,0.7
51,-0.01,1.75,-0.01,0.7
52,-0.016,1.65,-0.016,0.7
53,-0.022,1.55,-0.022,0.7
54,-0.028,1.45,-0.028,0.7
55,-0.034,1.35,-0.034,0.7
56,-0.04,1.25,-0.04,0.65
57,-0.046,1.1,-0.046,0.65
58,-0.052,0.95,-0.052,0.65
59,-0.058,0.85,-0.058,0.6
60,-0.062,0.7,-0.062,0.6
61,-0.068,0.55,-0.066,0.55
62,-0.072,0.4,-0.07,0.5
63,-0.074,0.25,-0.076,0.5
64,-0.08,0.1,-0.078,0.45
65,-0.082,-0.05,-0.084,0.35
66,-0.086,-0.2,-0.086,0.3
67,-0.088,-0.4,-0.088,0.2
68,-0.092,-0.55,-0.092,0.15
69,-0.094,-0.65,-0.094,0.05
70,-0.096,-0.85,-0.096,0
71,-0.098,-1,-0.096,-0.05
72,-0.098,-1.15,-0.098,-0.15
73,-0.098,-1.25,-0.098,-0.2
74,-0.098,-1.4,-0.1,-0.3
75,-0.1,-1.55,-0.1,-0.35
76,-0.098,-1.65,-0.1,-0.45
77,-0.098,-1.75,-0.098,-0.45
78,-0.096,-1.9,-0.096,-0.55
79,-0.094,-2,-0.096,-0.65
80,-0.092,-2.1,-0.092,-0.7
81,-0.09,-2.2,-0.092,-0.7
82,-0.088,-2.25,-0.088,-0.75
83,-0.084,-2.3,-0.086,-0.8
84,-0.082,-2.4,-0.082,-0.8
85,-0.078,-2.45,-0.078,-0.85
86,-0.074,-2.5,-0.074,-0.85
87,-0.07,-2.5,-0.07,-0.85
88,-0.064,-2.55,-0.064,-0.8
89,-0.06,-2.55,-0.06,-0.85
90,-0.054,-2.55,-0.056,-0.85
91,-0.048,-2.5,-0.048,-0.8
92,-0.044,-2.5,-0.044,-0.75
93,-0.038,-2.5,-0.038,-0.7
94,-0.032,-2.45,-0.032,-0.65
95,-0.026,-2.4,-0.026,-0.55
96,-0.02,-2.35,-0.02,-0.5
97,-0.014,-2.3,-0.014,-0.4
98,-0.008,-2.2,-0.008,-0.35
99,0,-2.1,0,-0.2
100,0.004,-1.95,0.006,-0.05
101,0.012,-1.85,0.01,0.05
102,0.018,-1.75,0.018,0.15
103,0.024,-1.6,0.024,0.25
104,0.03,-1.5,0.03,0.4
105,0.036,-1.35,0.036,0.5
106,0.042,-1.25,0.042,0.6
107,0.046,-1.1,0.048,0.65
108,0.052,-1,0.052,0.7
109,0.058,-0.85,0.058,0.7
110,0.062,-0.7,0.062,0.7
111,0.068,-0.55,0.066,0.7
112,0.072,-0.4,0.072,0.7
113,0.076,-0.25,0.076,0.75
114,0.08,-0.1,0.08,0.75
115,0.084,0.05,0.084,0.75
116,0.088,0.2,0.086,0.75
117,0.09,0.35,0.09,0.75
118,0.092,0.5,0.092,0.75
119,0.096,0.65,0.094,0.75
120,0.096,0.75,0.096,0.75
121,0.098,0.9,0.098,0.75
122,0.1,1.05,0.1,0.75
123,0.1,1.15,0.1,0.75
124,0.1,1.3,0.1,0.75
125,0.1,1.4,0.1,0.75
126,0.1,1.55,0.1,0.75
127,0.098,1.65,0.1,0.75
128,0.098,1.75,0.098,0.75
129,0.096,1.8,0.096,0.75
130,0.094,1.9,0.094,0.75
131,0.092,1.95,0.092,0.75
132,0.088,2.05,0.088,0.75
133,0.086,2.1,0.086,0.75
134,0.082,2.15,0.082,0.75
135,0.078,2.15,0.078,0.75
136,0.074,2.2,0.074,0.75
137,0.07,2.2,0.07,0.75
138,0.064,2.25,0.066,0.75
139,0.06,2.25,0.06,0.75
140,0.056,2.25,0.056,0.75
141,0.05,2.25,0.05,0.75
142,0.044,2.25,0.044,0.7
143,0.04,2.2,0.038,0.7
144,0.034,2.2,0.034,0.7
145,0.026,2.15,0.026,0.7
146,0.022,2.15,0.02,0.7
147,0.014,2.1,0.014,0.7
148,0.008,2.05,0.008,0.7
149,0.002,1.9,0.002,0.7
150,-0.004,1.8,-0.004,0.7
151,-0.01,1.75,-0.01,0.7
152,-0.016,1.65,-0.016,0.7
153,-0.022,1.55,-0.022,0.7
154,-0.028,1.45,-0.028,0.7
155,-0.034,1.35,-0.034,0.7
156,-0.04,1.2,-0.042,0.65
157,-0.046,1.1,-0.046,0.65
158,-0.05,0.95,-0.052,0.65
159,-0.056,0.85,-0.056,0.6
