Date,Time,Time since 1970-01-01T00:00:00Z,,Time since start of measurement,,F,
2026-05-12,15:24:03.416389,1778592243.416389,s,18.764688,s,269,
2026-05-12,15:24:03.666974,1778592243.666974,s,19.015273,s,281,
2026-05-12,15:24:03.916823,1778592243.916823,s,19.265122,s,289,
2026-05-12,15:24:04.167485,1778592244.167485,s,19.515784,s,270,
2026-05-12,15:24:04.417207,1778592244.417207,s,19.765506,s,305,
2026-05-12,15:24:04.667951,1778592244.667951,s,20.01625,s,322,
2026-05-12,15:24:04.917697,1778592244.917697,s,20.265996,s,314,
2026-05-12,15:24:05.168495,1778592245.168495,s,20.516794,s,338,
2026-05-12,15:24:05.418034,1778592245.418034,s,20.766333,s,363,
2026-05-12,15:24:05.669028,1778592245.669028,s,21.017327,s,369,
2026-05-12,15:24:05.918333,1778592245.918333,s,21.266632,s,371,
2026-05-12,15:24:06.169555,1778592246.169555,s,21.517854,s,384,
2026-05-12,15:24:06.418719,1778592246.418719,s,21.767018,s,415,
2026-05-12,15:24:06.670024,1778592246.670024,s,22.018323,s,405,
2026-05-12,15:24:06.919058,1778592246.919058,s,22.267357,s,418,
2026-05-12,15:24:07.170523,1778592247.170523,s,22.518822,s,441,
2026-05-12,15:24:07.419398,1778592247.419398,s,22.767697,s,453,
2026-05-12,15:24:07.670898,1778592247.670898,s,23.019197,s,452,
2026-05-12,15:24:07.919627,1778592247.919627,s,23.267926,s,458,
2026-05-12,15:24:08.171255,1778592248.171255,s,23.519554,s,478,
2026-05-12,15:24:08.419953,1778592248.419953,s,23.768252,s,512,
2026-05-12,15:24:08.671767,1778592248.671767,s,24.020066,s,519,
2026-05-12,15:24:08.920199,1778592248.920199,s,24.268498,s,542,
2026-05-12,15:24:09.172232,1778592249.172232,s,24.520531,s,553,
2026-05-12,15:24:09.420376,1778592249.420376,s,24.768675,s,576,
2026-05-12,15:24:09.672648,1778592249.672648,s,25.020947,s,618,
2026-05-12,15:24:09.920713,1778592249.920713,s,25.269012,s,654,
2026-05-12,15:24:10.173147,1778592250.173147,s,25.521446,s,692,
2026-05-12,15:24:10.421224,1778592250.421224,s,25.769523,s,741,
2026-05-12,15:24:10.673535,1778592250.673535,s,26.021834,s,772,
2026-05-12,15:24:10.921755,1778592250.921755,s,26.270054,s,795,
2026-05-12,15:24:11.173884,1778592251.173884,s,26.522183,s,838,
2026-05-12,15:24:11.422158,1778592251.422158,s,26.770457,s,876,
2026-05-12,15:24:11.674190,1778592251.67419,s,27.022489,s,878,
2026-05-12,15:24:11.922635,1778592251.922635,s,27.270934,s,905,
2026-05-12,15:24:12.174446,1778592252.174446,s,27.522745,s,924,
2026-05-12,15:24:12.423014,1778592252.423014,s,27.771313,s,964,
2026-05-12,15:24:12.674726,1778592252.674726,s,28.023025,s,975,
2026-05-12,15:24:12.923373,1778592252.923373,s,28.271672,s,995,
2026-05-12,15:24:13.175233,1778592253.175233,s,28.523532,s,989,
2026-05-12,15:24:13.423657,1778592253.423657,s,28.771956,s,1006,
2026-05-12,15:24:13.675656,1778592253.675656,s,29.023955,s,1024,
2026-05-12,15:24:13.924005,1778592253.924005,s,29.272304,s,1037,
2026-05-12,15:24:14.176190,1778592254.17619,s,29.524489,s,1029,
2026-05-12,15:24:14.424375,1778592254.424375,s,29.772674,s,1040,
2026-05-12,15:24:14.676505,1778592254.676505,s,30.024804,s,1050,
2026-05-12,15:24:14.924613,1778592254.924613,s,30.272912,s,1051,
2026-05-12,15:24:15.177025,1778592255.177025,s,30.525324,s,1064,
2026-05-12,15:24:15.424944,1778592255.424944,s,30.773243,s,1075,
2026-05-12,15:24:15.677399,1778592255.677399,s,31.025698,s,1070,
2026-05-12,15:24:15.925371,1778592255.925371,s,31.27367,s,1093,
2026-05-12,15:24:16.177871,1778592256.177871,s,31.52617,s,1117,
2026-05-12,15:24:16.425612,1778592256.425612,s,31.773911,s,1139,
2026-05-12,15:24:16.678226,1778592256.678226,s,32.026525,s,1138,
2026-05-12,15:24:16.925951,1778592256.925951,s,32.27425,s,1147,
2026-05-12,15:24:17.178747,1778592257.178747,s,32.527046,s,1167,
2026-05-12,15:24:17.426271,1778592257.426271,s,32.77457,s,1161,
2026-05-12,15:24:17.679268,1778592257.679268,s,33.027567,s,1175,
2026-05-12,15:24:17.926546,1778592257.926546,s,33.274845,s,1197,
2026-05-12,15:24:18.179793,1778592258.179793,s,33.528092,s,1191,
2026-05-12,15:24:18.426870,1778592258.42687,s,33.775169,s,1217,
2026-05-12,15:24:18.680154,1778592258.680154,s,34.028453,s,1225,
2026-05-12,15:24:18.927212,1778592258.927212,s,34.275511,s,1252,
2026-05-12,15:24:19.180646,1778592259.180646,s,34.528945,s,1268,
2026-05-12,15:24:19.427544,1778592259.427544,s,34.775843,s,1332,
2026-05-12,15:24:19.681094,1778592259.681094,s,35.029393,s,1363,
2026-05-12,15:24:19.927875,1778592259.927875,s,35.276174,s,1394,
2026-05-12,15:24:20.181552,1778592260.181552,s,35.529851,s,1446,
2026-05-12,15:24:20.428138,1778592260.428138,s,35.776437,s,1452,
2026-05-12,15:24:20.681919,1778592260.681919,s,36.030218,s,1475,
2026-05-12,15:24:20.928752,1778592260.928752,s,36.277051,s,1543,
2026-05-12,15:24:21.182409,1778592261.182409,s,36.530708,s,1574,
2026-05-12,15:24:21.429288,1778592261.429288,s,36.777587,s,1794,
2026-05-12,15:24:21.682678,1778592261.682678,s,37.030977,s,1931,
2026-05-12,15:24:21.929784,1778592261.929784,s,37.278083,s,2032,
2026-05-12,15:24:22.183038,1778592262.183038,s,37.531337,s,2153,
2026-05-12,15:24:22.430298,1778592262.430298,s,37.778597,s,2493,
2026-05-12,15:24:22.683368,1778592262.683368,s,38.031667,s,2665,
2026-05-12,15:24:22.930828,1778592262.930828,s,38.279127,s,3054,
2026-05-12,15:24:23.183611,1778592263.183611,s,38.53191,s,3207,
2026-05-12,15:24:23.431193,1778592263.431193,s,38.779492,s,3586,
2026-05-12,15:24:23.683847,1778592263.683847,s,39.032146,s,3737,
2026-05-12,15:24:23.931679,1778592263.931679,s,39.279978,s,4119,
2026-05-12,15:24:24.184127,1778592264.184127,s,39.532426,s,4271,
2026-05-12,15:24:24.432201,1778592264.432201,s,39.7805,s,4626,
2026-05-12,15:24:24.684414,1778592264.684414,s,40.032713,s,4774,
2026-05-12,15:24:24.932683,1778592264.932683,s,40.280982,s,5038,
2026-05-12,15:24:25.184638,1778592265.184638,s,40.532937,s,5235,
2026-05-12,15:24:25.433139,1778592265.433139,s,40.781438,s,5486,
2026-05-12,15:24:25.685153,1778592265.685153,s,41.033452,s,5680,
2026-05-12,15:24:25.933585,1778592265.933585,s,41.281884,s,5919,
2026-05-12,15:24:26.185598,1778592266.185598,s,41.533897,s,6090,
2026-05-12,15:24:26.433909,1778592266.433909,s,41.782208,s,6324,
2026-05-12,15:24:26.686118,1778592266.686118,s,42.034417,s,6468,
2026-05-12,15:24:26.934264,1778592266.934264,s,42.282563,s,6676,
2026-05-12,15:24:27.186601,1778592267.186601,s,42.5349,s,6817,
2026-05-12,15:24:27.434478,1778592267.434478,s,42.782777,s,6999,
2026-05-12,15:24:27.687098,1778592267.687098,s,43.035397,s,7132,
2026-05-12,15:24:27.934912,1778592267.934912,s,43.283211,s,7298,
2026-05-12,15:24:28.187631,1778592268.187631,s,43.53593,s,7414,
2026-05-12,15:24:28.435291,1778592268.435291,s,43.78359,s,7563,
2026-05-12,15:24:28.688126,1778592268.688126,s,44.036425,s,7671,
2026-05-12,15:24:28.935468,1778592268.935468,s,44.283767,s,7813,
