Date,Time,Time since 1970-01-01T00:00:00Z,,T,,x,
2026-03-05,14:47:53.576215,1772718473.576215,s,21.519024,s,1,
2026-03-05,14:47:53.827239,1772718473.827239,s,21.770048,s,-3,
2026-03-05,14:47:54.076507,1772718474.076507,s,22.019316,s,3,
2026-03-05,14:47:54.327751,1772718474.327751,s,22.27056,s,5,
2026-03-05,14:47:54.576797,1772718474.576797,s,22.519606,s,-18,
2026-03-05,14:47:54.828260,1772718474.82826,s,22.771069,s,-26,
2026-03-05,14:47:55.077095,1772718475.077095,s,23.019904,s,-6,
2026-03-05,14:47:55.328662,1772718475.328662,s,23.271471,s,-13,
2026-03-05,14:47:55.577312,1772718475.577312,s,23.520121,s,-2,
2026-03-05,14:47:55.829135,1772718475.829135,s,23.771944,s,0,
2026-03-05,14:47:56.077669,1772718476.077669,s,24.020478,s,0,
2026-03-05,14:47:56.329626,1772718476.329626,s,24.272435,s,-4,
2026-03-05,14:47:56.578118,1772718476.578118,s,24.520927,s,-17,
2026-03-05,14:47:56.830155,1772718476.830155,s,24.772964,s,-7,
2026-03-05,14:47:57.078436,1772718477.078436,s,25.021245,s,-22,
2026-03-05,14:47:57.330632,1772718477.330632,s,25.273441,s,-23,
2026-03-05,14:47:57.578946,1772718477.578946,s,25.521755,s,13,
2026-03-05,14:47:57.831118,1772718477.831118,s,25.773927,s,5,
2026-03-05,14:47:58.079565,1772718478.079565,s,26.022374,s,-8,
2026-03-05,14:47:58.331705,1772718478.331705,s,26.274514,s,-4,
2026-03-05,14:47:58.580151,1772718478.580151,s,26.52296,s,0,
2026-03-05,14:47:58.832189,1772718478.832189,s,26.774998,s,-17,
2026-03-05,14:47:59.080684,1772718479.080684,s,27.023493,s,-25,
2026-03-05,14:47:59.332659,1772718479.332659,s,27.275468,s,-9,
2026-03-05,14:47:59.581219,1772718479.581219,s,27.524028,s,-6,
2026-03-05,14:47:59.833133,1772718479.833133,s,27.775942,s,-6,
2026-03-05,14:48:00.081717,1772718480.081717,s,28.024526,s,-1,
2026-03-05,14:48:00.333386,1772718480.333386,s,28.276195,s,16,
2026-03-05,14:48:00.582224,1772718480.582224,s,28.525033,s,-15,
2026-03-05,14:48:00.833872,1772718480.833872,s,28.776681,s,-21,
2026-03-05,14:48:01.082709,1772718481.082709,s,29.025518,s,4,
2026-03-05,14:48:01.334193,1772718481.334193,s,29.277002,s,-15,
2026-03-05,14:48:01.583111,1772718481.583111,s,29.52592,s,1,
2026-03-05,14:48:01.834405,1772718481.834405,s,29.777214,s,2,
2026-03-05,14:48:02.083457,1772718482.083457,s,30.026266,s,-14,
2026-03-05,14:48:02.334737,1772718482.334737,s,30.277546,s,-14,
2026-03-05,14:48:02.583944,1772718482.583944,s,30.526753,s,-9,
2026-03-05,14:48:02.835074,1772718482.835074,s,30.777883,s,5,
2026-03-05,14:48:03.084427,1772718483.084427,s,31.027236,s,-14,
2026-03-05,14:48:03.335293,1772718483.335293,s,31.278102,s,0,
2026-03-05,14:48:03.584931,1772718483.584931,s,31.52774,s,2,
2026-03-05,14:48:03.835821,1772718483.835821,s,31.77863,s,-13,
2026-03-05,14:48:04.085493,1772718484.085493,s,32.028302,s,-9,
2026-03-05,14:48:04.336275,1772718484.336275,s,32.279084,s,-8,
2026-03-05,14:48:04.585959,1772718484.585959,s,32.528768,s,-30,
2026-03-05,14:48:04.836847,1772718484.836847,s,32.779656,s,-26,
2026-03-05,14:48:05.086419,1772718485.086419,s,33.029228,s,-1,
2026-03-05,14:48:05.337356,1772718485.337356,s,33.280165,s,-2,
2026-03-05,14:48:05.586877,1772718485.586877,s,33.529686,s,-6,
2026-03-05,14:48:05.837910,1772718485.83791,s,33.780719,s,-2,
2026-03-05,14:48:06.087332,1772718486.087332,s,34.030141,s,0,
2026-03-05,14:48:06.338391,1772718486.338391,s,34.2812,s,-11,
2026-03-05,14:48:06.587666,1772718486.587666,s,34.530475,s,-16,
2026-03-05,14:48:06.838892,1772718486.838892,s,34.781701,s,-10,
2026-03-05,14:48:07.088135,1772718487.088135,s,35.030944,s,-9,
2026-03-05,14:48:07.339417,1772718487.339417,s,35.282226,s,-20,
2026-03-05,14:48:07.588598,1772718487.588598,s,35.531407,s,7,
2026-03-05,14:48:07.839902,1772718487.839902,s,35.782711,s,11,
2026-03-05,14:48:08.089125,1772718488.089125,s,36.031934,s,-14,
2026-03-05,14:48:08.340392,1772718488.340392,s,36.283201,s,-17,
2026-03-05,14:48:08.589382,1772718488.589382,s,36.532191,s,-4,
2026-03-05,14:48:08.840896,1772718488.840896,s,36.783705,s,-18,
2026-03-05,14:48:09.089688,1772718489.089688,s,37.032497,s,-6,
2026-03-05,14:48:09.341381,1772718489.341381,s,37.28419,s,-8,
2026-03-05,14:48:09.589996,1772718489.589996,s,37.532805,s,1,
2026-03-05,14:48:09.841861,1772718489.841861,s,37.78467,s,-10,
2026-03-05,14:48:10.090211,1772718490.090211,s,38.03302,s,-1,
2026-03-05,14:48:10.342380,1772718490.34238,s,38.285189,s,21,
2026-03-05,14:48:10.590432,1772718490.590432,s,38.533241,s,-27,
2026-03-05,14:48:10.842917,1772718490.842917,s,38.785726,s,-17,
2026-03-05,14:48:11.090722,1772718491.090722,s,39.033531,s,-4,
2026-03-05,14:48:11.343321,1772718491.343321,s,39.28613,s,0,
2026-03-05,14:48:11.591287,1772718491.591287,s,39.534096,s,-8,
2026-03-05,14:48:11.843793,1772718491.843793,s,39.786602,s,-9,
2026-03-05,14:48:12.091809,1772718492.091809,s,40.034618,s,0,
2026-03-05,14:48:12.344357,1772718492.344357,s,40.287166,s,-10,
2026-03-05,14:48:12.592363,1772718492.592363,s,40.535172,s,-5,
2026-03-05,14:48:12.844844,1772718492.844844,s,40.787653,s,-4,
2026-03-05,14:48:13.092909,1772718493.092909,s,41.035718,s,-1,
2026-03-05,14:48:13.345360,1772718493.34536,s,41.288169,s,-18,
2026-03-05,14:48:13.593415,1772718493.593415,s,41.536224,s,12,
2026-03-05,14:48:13.845878,1772718493.845878,s,41.788687,s,6,
2026-03-05,14:48:14.093856,1772718494.093856,s,42.036665,s,-16,
2026-03-05,14:48:14.346377,1772718494.346377,s,42.289186,s,-7,
2026-03-05,14:48:14.594364,1772718494.594364,s,42.537173,s,-15,
2026-03-05,14:48:14.846855,1772718494.846855,s,42.789664,s,-15,
2026-03-05,14:48:15.094886,1772718495.094886,s,43.037695,s,4,
2026-03-05,14:48:15.347336,1772718495.347336,s,43.290145,s,103,
2026-03-05,14:48:15.595390,1772718495.59539,s,43.538199,s,232,
2026-03-05,14:48:15.847815,1772718495.847815,s,43.790624,s,450,
2026-03-05,14:48:16.095921,1772718496.095921,s,44.03873,s,625,
2026-03-05,14:48:16.348303,1772718496.348303,s,44.291112,s,853,
2026-03-05,14:48:16.596423,1772718496.596423,s,44.539232,s,1017,
2026-03-05,14:48:16.848658,1772718496.848658,s,44.791467,s,1271,
2026-03-05,14:48:17.096932,1772718497.096932,s,45.039741,s,1496,
2026-03-05,14:48:17.349002,1772718497.349002,s,45.291811,s,1754,
2026-03-05,14:48:17.597402,1772718497.597402,s,45.540211,s,1965,
2026-03-05,14:48:17.849473,1772718497.849473,s,45.792282,s,2211,
2026-03-05,14:48:18.097883,1772718498.097883,s,46.040692,s,2285,
2026-03-05,14:48:18.349823,1772718498.349823,s,46.292632,s,2345,
2026-03-05,14:48:18.598330,1772718498.59833,s,46.541139,s,2388,
2026-03-05,14:48:18.850149,1772718498.850149,s,46.792958,s,2415,
2026-03-05,14:48:19.098853,1772718499.098853,s,47.041662,s,2419,
2026-03-05,14:48:19.350381,1772718499.350381,s,47.29319,s,2439,
2026-03-05,14:48:19.599212,1772718499.599212,s,47.542021,s,2482,
2026-03-05,14:48:19.850900,1772718499.8509,s,47.793709,s,2483,
2026-03-05,14:48:20.099694,1772718500.099694,s,48.042503,s,2481,
2026-03-05,14:48:20.351391,1772718500.351391,s,48.2942,s,2498,
2026-03-05,14:48:20.600182,1772718500.600182,s,48.542991,s,2496,
2026-03-05,14:48:20.851869,1772718500.851869,s,48.794678,s,2501,
2026-03-05,14:48:21.100646,1772718501.100646,s,49.043455,s,2514,
2026-03-05,14:48:21.352369,1772718501.352369,s,49.295178,s,2519,
2026-03-05,14:48:21.601116,1772718501.601116,s,49.543925,s,2511,
2026-03-05,14:48:21.852886,1772718501.852886,s,49.795695,s,2512,
2026-03-05,14:48:22.101596,1772718502.101596,s,50.044405,s,2524,
2026-03-05,14:48:22.353558,1772718502.353558,s,50.296367,s,2514,
2026-03-05,14:48:22.602070,1772718502.60207,s,50.544879,s,2514,
2026-03-05,14:48:22.854072,1772718502.854072,s,50.796881,s,2511,
2026-03-05,14:48:23.102555,1772718503.102555,s,51.045364,s,2524,
2026-03-05,14:48:23.354643,1772718503.354643,s,51.297452,s,2513,
2026-03-05,14:48:23.602899,1772718503.602899,s,51.545708,s,2517,
2026-03-05,14:48:23.855135,1772718503.855135,s,51.797944,s,2519,
2026-03-05,14:48:24.103204,1772718504.103204,s,52.046013,s,2522,
2026-03-05,14:48:24.355581,1772718504.355581,s,52.29839,s,2523,
2026-03-05,14:48:24.603423,1772718504.603423,s,52.546232,s,2518,
2026-03-05,14:48:24.856093,1772718504.856093,s,52.798902,s,2530,
2026-03-05,14:48:25.103715,1772718505.103715,s,53.046524,s,2517,
2026-03-05,14:48:25.356385,1772718505.356385,s,53.299194,s,2518,
2026-03-05,14:48:25.604016,1772718505.604016,s,53.546825,s,2520,
2026-03-05,14:48:25.856883,1772718505.856883,s,53.799692,s,2521,
2026-03-05,14:48:26.104221,1772718506.104221,s,54.04703,s,2517,
2026-03-05,14:48:26.357387,1772718506.357387,s,54.300196,s,2527,
2026-03-05,14:48:26.604424,1772718506.604424,s,54.547233,s,2530,
2026-03-05,14:48:26.857887,1772718506.857887,s,54.800696,s,2521,
2026-03-05,14:48:27.104765,1772718507.104765,s,55.047574,s,2520,
2026-03-05,14:48:27.358353,1772718507.358353,s,55.301162,s,2526,
2026-03-05,14:48:27.605114,1772718507.605114,s,55.547923,s,2529,
2026-03-05,14:48:27.858883,1772718507.858883,s,55.801692,s,2520,
2026-03-05,14:48:28.105368,1772718508.105368,s,56.048177,s,2528,
2026-03-05,14:48:28.359354,1772718508.359354,s,56.302163,s,2524,
2026-03-05,14:48:28.605728,1772718508.605728,s,56.548537,s,2525,
2026-03-05,14:48:28.859899,1772718508.859899,s,56.802708,s,2527,
2026-03-05,14:48:29.106080,1772718509.10608,s,57.048889,s,2533,
2026-03-05,14:48:29.360373,1772718509.360373,s,57.303182,s,2522,
2026-03-05,14:48:29.606322,1772718509.606322,s,57.549131,s,2523,
2026-03-05,14:48:29.860745,1772718509.860745,s,57.803554,s,2534,
2026-03-05,14:48:30.106717,1772718510.106717,s,58.049526,s,2527,
2026-03-05,14:48:30.361223,1772718510.361223,s,58.304032,s,2520,
2026-03-05,14:48:30.607080,1772718510.60708,s,58.549889,s,2526,
2026-03-05,14:48:30.861668,1772718510.861668,s,58.804477,s,2527,
2026-03-05,14:48:31.107304,1772718511.107304,s,59.050113,s,2527,
2026-03-05,14:48:31.362077,1772718511.362077,s,59.304886,s,2526,
2026-03-05,14:48:31.607539,1772718511.607539,s,59.550348,s,2537,
2026-03-05,14:48:31.862512,1772718511.862512,s,59.805321,s,2526,
2026-03-05,14:48:32.107913,1772718512.107913,s,60.050722,s,2534,
2026-03-05,14:48:32.363062,1772718512.363062,s,60.305871,s,2540,
2026-03-05,14:48:32.608376,1772718512.608376,s,60.551185,s,2531,
2026-03-05,14:48:32.863518,1772718512.863518,s,60.806327,s,2528,
2026-03-05,14:48:33.108758,1772718513.108758,s,61.051567,s,2536,
2026-03-05,14:48:33.363834,1772718513.363834,s,61.306643,s,2544,
2026-03-05,14:48:33.609083,1772718513.609083,s,61.551892,s,2540,
2026-03-05,14:48:33.864140,1772718513.86414,s,61.806949,s,2539,
2026-03-05,14:48:34.109305,1772718514.109305,s,62.052114,s,2545,
2026-03-05,14:48:34.364400,1772718514.3644,s,62.307209,s,2540,
2026-03-05,14:48:34.609621,1772718514.609621,s,62.55243,s,2546,
2026-03-05,14:48:34.865082,1772718514.865082,s,62.807891,s,2546,
2026-03-05,14:48:35.109971,1772718515.109971,s,63.05278,s,2555,
2026-03-05,14:48:35.365681,1772718515.365681,s,63.30849,s,2546,
2026-03-05,14:48:35.610242,1772718515.610242,s,63.553051,s,2552,
2026-03-05,14:48:35.866184,1772718515.866184,s,63.808993,s,2555,
2026-03-05,14:48:36.110583,1772718516.110583,s,64.053392,s,2558,
2026-03-05,14:48:36.366730,1772718516.36673,s,64.309539,s,2559,
2026-03-05,14:48:36.610917,1772718516.610917,s,64.553726,s,2552,
2026-03-05,14:48:36.867228,1772718516.867228,s,64.810037,s,2559,
2026-03-05,14:48:37.111243,1772718517.111243,s,65.054052,s,2564,
2026-03-05,14:48:37.367707,1772718517.367707,s,65.310516,s,2573,
2026-03-05,14:48:37.611567,1772718517.611567,s,65.554376,s,2574,
2026-03-05,14:48:37.868228,1772718517.868228,s,65.811037,s,2575,
2026-03-05,14:48:38.111925,1772718518.111925,s,66.054734,s,2578,
2026-03-05,14:48:38.368750,1772718518.36875,s,66.311559,s,2586,
2026-03-05,14:48:38.612255,1772718518.612255,s,66.555064,s,2586,
2026-03-05,14:48:38.869224,1772718518.869224,s,66.812033,s,2575,
2026-03-05,14:48:39.112525,1772718519.112525,s,67.055334,s,2576,
2026-03-05,14:48:39.369767,1772718519.369767,s,67.312576,s,2580,
2026-03-05,14:48:39.612801,1772718519.612801,s,67.55561,s,2587,
2026-03-05,14:48:39.870261,1772718519.870261,s,67.81307,s,2595,
2026-03-05,14:48:40.113098,1772718520.113098,s,68.055907,s,2597,
2026-03-05,14:48:40.370734,1772718520.370734,s,68.313543,s,2589,
2026-03-05,14:48:40.613307,1772718520.613307,s,68.556116,s,2595,
2026-03-05,14:48:40.871262,1772718520.871262,s,68.814071,s,2605,
2026-03-05,14:48:41.113676,1772718521.113676,s,69.056485,s,2613,
2026-03-05,14:48:41.371517,1772718521.371517,s,69.314326,s,2610,
2026-03-05,14:48:41.614144,1772718521.614144,s,69.556953,s,2607,
2026-03-05,14:48:41.871993,1772718521.871993,s,69.814802,s,2615,
2026-03-05,14:48:42.114668,1772718522.114668,s,70.057477,s,2596,
2026-03-05,14:48:42.372524,1772718522.372524,s,70.315333,s,2606,
2026-03-05,14:48:42.615050,1772718522.61505,s,70.557859,s,2620,
2026-03-05,14:48:42.873051,1772718522.873051,s,70.81586,s,2613,
2026-03-05,14:48:43.115590,1772718523.11559,s,71.058399,s,2612,
2026-03-05,14:48:43.373342,1772718523.373342,s,71.316151,s,2610,
2026-03-05,14:48:43.615947,1772718523.615947,s,71.558756,s,2623,
2026-03-05,14:48:43.873861,1772718523.873861,s,71.81667,s,2619,
2026-03-05,14:48:44.116504,1772718524.116504,s,72.059313,s,2622,
2026-03-05,14:48:44.374339,1772718524.374339,s,72.317148,s,2629,
2026-03-05,14:48:44.616918,1772718524.616918,s,72.559727,s,2629,
2026-03-05,14:48:44.874808,1772718524.874808,s,72.817617,s,2625,
2026-03-05,14:48:45.117398,1772718525.117398,s,73.060207,s,2620,
2026-03-05,14:48:45.375271,1772718525.375271,s,73.31808,s,2632,
2026-03-05,14:48:45.617941,1772718525.617941,s,73.56075,s,2628,
2026-03-05,14:48:45.875776,1772718525.875776,s,73.818585,s,2627,
2026-03-05,14:48:46.118431,1772718526.118431,s,74.06124,s,2633,
2026-03-05,14:48:46.376129,1772718526.376129,s,74.318938,s,2634,
2026-03-05,14:48:46.618935,1772718526.618935,s,74.561744,s,2642,
2026-03-05,14:48:46.876560,1772718526.87656,s,74.819369,s,2649,
2026-03-05,14:48:47.119395,1772718527.119395,s,75.062204,s,2658,
2026-03-05,14:48:47.377024,1772718527.377024,s,75.319833,s,2646,
2026-03-05,14:48:47.619918,1772718527.619918,s,75.562727,s,2655,
2026-03-05,14:48:47.877474,1772718527.877474,s,75.820283,s,2669,
2026-03-05,14:48:48.120323,1772718528.120323,s,76.063132,s,2671,
2026-03-05,14:48:48.377776,1772718528.377776,s,76.320585,s,2668,
2026-03-05,14:48:48.620803,1772718528.620803,s,76.563612,s,2677,
2026-03-05,14:48:48.878060,1772718528.87806,s,76.820869,s,2673,
2026-03-05,14:48:49.121274,1772718529.121274,s,77.064083,s,2685,
2026-03-05,14:48:49.378285,1772718529.378285,s,77.321094,s,2696,
2026-03-05,14:48:49.621760,1772718529.62176,s,77.564569,s,2715,
2026-03-05,14:48:49.878848,1772718529.878848,s,77.821657,s,2692,
2026-03-05,14:48:50.122197,1772718530.122197,s,78.065006,s,2711,
2026-03-05,14:48:50.379392,1772718530.379392,s,78.322201,s,2720,
2026-03-05,14:48:50.622628,1772718530.622628,s,78.565437,s,2734,
2026-03-05,14:48:50.879935,1772718530.879935,s,78.822744,s,2729,
2026-03-05,14:48:51.123096,1772718531.123096,s,79.065905,s,2758,
2026-03-05,14:48:51.380363,1772718531.380363,s,79.323172,s,2751,
2026-03-05,14:48:51.623548,1772718531.623548,s,79.566357,s,2764,
2026-03-05,14:48:51.880902,1772718531.880902,s,79.823711,s,2770,
2026-03-05,14:48:52.123989,1772718532.123989,s,80.066798,s,2784,
2026-03-05,14:48:52.381357,1772718532.381357,s,80.324166,s,2777,
2026-03-05,14:48:52.624457,1772718532.624457,s,80.567266,s,2780,
2026-03-05,14:48:52.881944,1772718532.881944,s,80.824753,s,2801,
2026-03-05,14:48:53.124916,1772718533.124916,s,81.067725,s,2792,
2026-03-05,14:48:53.382222,1772718533.382222,s,81.325031,s,2810,
2026-03-05,14:48:53.625201,1772718533.625201,s,81.56801,s,2815,
2026-03-05,14:48:53.882691,1772718533.882691,s,81.8255,s,2837,
2026-03-05,14:48:54.125477,1772718534.125477,s,82.068286,s,2855,
2026-03-05,14:48:54.383204,1772718534.383204,s,82.326013,s,2886,
2026-03-05,14:48:54.625777,1772718534.625777,s,82.568586,s,2922,
2026-03-05,14:48:54.883728,1772718534.883728,s,82.826537,s,2923,
2026-03-05,14:48:55.126072,1772718535.126072,s,83.068881,s,2946,
2026-03-05,14:48:55.384193,1772718535.384193,s,83.327002,s,2973,
2026-03-05,14:48:55.626299,1772718535.626299,s,83.569108,s,2986,
2026-03-05,14:48:55.884459,1772718535.884459,s,83.827268,s,2986,
2026-03-05,14:48:56.126780,1772718536.12678,s,84.069589,s,2992,
2026-03-05,14:48:56.384982,1772718536.384982,s,84.327791,s,3025,
2026-03-05,14:48:56.627298,1772718536.627298,s,84.570107,s,3026,
2026-03-05,14:48:56.885482,1772718536.885482,s,84.828291,s,3025,
2026-03-05,14:48:57.127797,1772718537.127797,s,85.070606,s,3059,
2026-03-05,14:48:57.386001,1772718537.386001,s,85.32881,s,3071,
2026-03-05,14:48:57.628317,1772718537.628317,s,85.571126,s,3088,
2026-03-05,14:48:57.886531,1772718537.886531,s,85.82934,s,3109,
2026-03-05,14:48:58.128793,1772718538.128793,s,86.071602,s,3146,
2026-03-05,14:48:58.387028,1772718538.387028,s,86.329837,s,3157,
2026-03-05,14:48:58.629237,1772718538.629237,s,86.572046,s,3195,
2026-03-05,14:48:58.887488,1772718538.887488,s,86.830297,s,3242,
2026-03-05,14:48:59.129708,1772718539.129708,s,87.072517,s,3360,
2026-03-05,14:48:59.387964,1772718539.387964,s,87.330773,s,3433,
2026-03-05,14:48:59.630193,1772718539.630193,s,87.573002,s,3562,
2026-03-05,14:48:59.888424,1772718539.888424,s,87.831233,s,3663,
2026-03-05,14:49:00.130722,1772718540.130722,s,88.073531,s,3852,
2026-03-05,14:49:00.388822,1772718540.388822,s,88.331631,s,3918,
2026-03-05,14:49:00.631220,1772718540.63122,s,88.574029,s,4388,
2026-03-05,14:49:00.889163,1772718540.889163,s,88.831972,s,4595,
2026-03-05,14:49:01.131741,1772718541.131741,s,89.07455,s,5082,
2026-03-05,14:49:01.389582,1772718541.389582,s,89.332391,s,5294,
2026-03-05,14:49:01.632273,1772718541.632273,s,89.575082,s,5792,
2026-03-05,14:49:01.890050,1772718541.89005,s,89.832859,s,5989,
2026-03-05,14:49:02.132644,1772718542.132644,s,90.075453,s,6354,
2026-03-05,14:49:02.390512,1772718542.390512,s,90.333321,s,6647,
2026-03-05,14:49:02.633133,1772718542.633133,s,90.575942,s,6995,
2026-03-05,14:49:02.890865,1772718542.890865,s,90.833674,s,7250,
2026-03-05,14:49:03.133653,1772718543.133653,s,91.076462,s,7596,
2026-03-05,14:49:03.391222,1772718543.391222,s,91.334031,s,7851,
2026-03-05,14:49:03.634142,1772718543.634142,s,91.576951,s,8171,
2026-03-05,14:49:03.891482,1772718543.891482,s,91.834291,s,8384,
2026-03-05,14:49:04.134591,1772718544.134591,s,92.0774,s,8682,
2026-03-05,14:49:04.391961,1772718544.391961,s,92.33477,s,8869,
2026-03-05,14:49:04.635054,1772718544.635054,s,92.577863,s,9129,
2026-03-05,14:49:04.892491,1772718544.892491,s,92.8353,s,9314,
2026-03-05,14:49:05.135526,1772718545.135526,s,93.078335,s,9528,
2026-03-05,14:49:05.392893,1772718545.392893,s,93.335702,s,9681,
2026-03-05,14:49:05.635970,1772718545.63597,s,93.578779,s,9864,
2026-03-05,14:49:05.893348,1772718545.893348,s,93.836157,s,10001,
