t	x	y	vx	vy	v	
1,650	0,510	0,218	7,377E-2	-0,192	0,205
1,667	0,511	0,214	7,907E-2	-0,186	0,202
1,683	0,513	0,211	7,711E-2	-0,180	0,196
1,700	0,514	0,208	6,449E-2	-0,182	0,193
1,717	0,515	0,205	7,479E-2	-0,192	0,206
1,733	0,516	0,202	7,767E-2	-0,188	0,204
1,750	0,517	0,199	7,562E-2	-0,192	0,206
1,767	0,519	0,196	7,465E-2	-0,193	0,207
1,783	0,520	0,193	6,854E-2	-0,186	0,198
1,800	0,521	0,189	6,958E-2	-0,189	0,201
1,817	0,522	0,186	7,074E-2	-0,188	0,201
1,833	0,523	0,183	6,943E-2	-0,185	0,197
1,850	0,524	0,180	6,566E-2	-0,189	0,201
1,867	0,525	0,177	7,271E-2	-0,195	0,208
1,883	0,527	0,174	7,100E-2	-0,186	0,199
1,900	0,528	0,171	6,927E-2	-0,187	0,199
1,917	0,529	0,167	7,561E-2	-0,196	0,210
1,933	0,530	0,164	7,313E-2	-0,185	0,199
1,950	0,532	0,161	6,915E-2	-0,181	0,194
1,967	0,533	0,158			
