t	x	y	vx	vy	v	
1,667	0,461	0,217	4,252E-2	-0,398	0,400
1,683	0,462	0,211	5,575E-2	-0,394	0,398
1,700	0,463	0,204	6,718E-2	-0,407	0,412
1,717	0,464	0,197	8,483E-2	-0,400	0,409
1,733	0,466	0,191	9,989E-2	-0,389	0,402
1,750	0,467	0,184	0,111	-0,395	0,410
1,767	0,469	0,177	0,128	-0,397	0,417
1,783	0,472	0,171	0,151	-0,391	0,419
1,800	0,474	0,164	0,164	-0,385	0,418
1,817	0,477	0,158	0,175	-0,373	0,413
1,833	0,480	0,152	0,186	-0,353	0,399
1,850	0,483	0,146	0,196	-0,354	0,404
1,867	0,487	0,140	0,205	-0,361	0,415
1,883	0,490	0,134	0,213	-0,336	0,398
1,900	0,494	0,129	0,222	-0,314	0,384
1,917	0,498	0,124	0,237	-0,317	0,396
1,933	0,502	0,118	0,254	-0,306	0,398
1,950	0,506	0,114	0,253	-0,287	0,382
1,967	0,510	0,109			
