t	x	y	a	b	v	c	d	e	f	w	
0,500	0,421	0,435	8,371E-2	-0,183	0,202	0,399	0,379	0,269	-0,276	0,385
0,517	0,422	0,431	8,328E-2	-0,189	0,207	0,404	0,375	0,286	-0,267	0,391
0,533	0,424	0,429	8,065E-2	-0,182	0,199	0,409	0,371	0,293	-0,247	0,383
0,550	0,425	0,425	8,051E-2	-0,186	0,203	0,414	0,367	0,291	-0,224	0,368
0,567	0,427	0,422	8,359E-2	-0,186	0,204	0,418	0,363	0,294	-0,218	0,366
0,583	0,428	0,419	8,018E-2	-0,186	0,202	0,423	0,359	0,298	-0,201	0,359
0,600	0,429	0,416	8,157E-2	-0,186	0,203	0,428	0,356	0,292	-0,185	0,345
0,617	0,431	0,413	8,490E-2	-0,192	0,210	0,433	0,353	0,295	-0,170	0,340
0,633	0,432	0,410	8,052E-2	-0,188	0,204	0,438	0,351	0,297	-0,150	0,333
0,650	0,433	0,407	8,179E-2	-0,191	0,208	0,443	0,348	0,279	-0,126	0,306
0,667	0,435	0,403	8,117E-2	-0,195	0,212	0,447	0,347	0,290	-0,117	0,313
0,683	0,436	0,400	7,741E-2	-0,177	0,193	0,453	0,344	0,293	-0,114	0,315
0,700	0,437	0,397	7,948E-2	-0,194	0,210	0,457	0,343	0,272	-9,565E-2	0,289
0,717	0,439	0,394	7,542E-2	-0,202	0,215	0,462	0,341	0,272	-8,349E-2	0,284
0,733	0,440	0,391	7,737E-2	-0,194	0,209	0,466	0,340	0,272	-7,110E-2	0,281
0,750	0,441	0,387	8,398E-2	-0,191	0,209	0,471	0,339	0,252	-5,107E-2	0,258
0,767	0,443	0,384	7,502E-2	-0,184	0,199	0,475	0,338	0,241	-3,944E-2	0,244
0,783	0,444	0,381	7,467E-2	-0,199	0,213	0,479	0,338	0,239	-3,619E-2	0,242
0,800	0,445	0,378	7,480E-2	-0,194	0,208	0,483	0,337	0,219	-2,423E-2	0,220
0,817	0,446	0,375	7,554E-2	-0,195	0,209	0,486	0,337	0,207	-1,236E-2	0,207
0,833	0,448	0,371	8,576E-2	-0,192	0,211	0,490	0,337	0,200	8,524E-4	0,200
0,850	0,449	0,368	7,535E-2	-0,180	0,195	0,493	0,337	0,185	7,458E-3	0,186
0,867	0,450	0,365	7,500E-2	-0,194	0,208	0,496	0,337	0,174	1,073E-2	0,174
0,883	0,452	0,362	8,892E-2	-0,194	0,213	0,499	0,337	0,158	1,595E-2	0,159
0,900	0,453	0,359	7,833E-2	-0,195	0,210	0,501	0,337	0,139	2,035E-2	0,140
0,917	0,454	0,355	7,509E-2	-0,199	0,212	0,503	0,338	0,131	2,527E-2	0,134
0,933	0,456	0,352	8,304E-2	-0,195	0,212	0,505	0,338	0,117	2,921E-2	0,120
0,950	0,457	0,349	7,850E-2	-0,191	0,206	0,507	0,339	9,674E-2	3,155E-2	0,102
0,967	0,458	0,346	7,737E-2	-0,186	0,201	0,509	0,339	8,435E-2	3,028E-2	8,962E-2
0,983	0,460	0,343	7,670E-2	-0,194	0,209	0,510	0,340	6,579E-2	3,135E-2	7,288E-2
1,000	0,461	0,339	7,342E-2	-0,192	0,205	0,511	0,340	4,826E-2	3,218E-2	5,800E-2
1,017	0,462	0,336	8,020E-2	-0,192	0,208	0,511	0,341	3,552E-2	3,024E-2	4,665E-2
1,033	0,464	0,333	8,604E-2	-0,200	0,218	0,512	0,341	1,802E-2	2,423E-2	3,019E-2
1,050	0,465	0,330	7,873E-2	-0,194	0,209	0,512	0,342	6,974E-3	1,540E-2	1,690E-2
1,067	0,466	0,326	7,901E-2	-0,190	0,206	0,512	0,342	-5,996E-3	1,182E-2	1,325E-2
1,083	0,468	0,323	8,026E-2	-0,198	0,213	0,512	0,342	-2,719E-2	4,124E-4	2,720E-2
1,100	0,469	0,320	7,444E-2	-0,191	0,205	0,511	0,342	-3,895E-2	-9,297E-3	4,004E-2
1,117	0,470	0,317	7,586E-2	-0,187	0,202	0,511	0,342	-4,866E-2	-1,219E-2	5,016E-2
1,133	0,471	0,314	7,895E-2	-0,192	0,207	0,510	0,341	-6,165E-2	-1,966E-2	6,471E-2
1,150	0,473	0,310	8,082E-2	-0,187	0,204	0,509	0,341	-7,246E-2	-2,968E-2	7,830E-2
1,167	0,474	0,307	7,892E-2	-0,185	0,202	0,507	0,340	-8,734E-2	-4,237E-2	9,707E-2
1,183	0,475	0,304	7,665E-2	-0,189	0,204	0,506	0,340	-0,101	-5,349E-2	0,115
1,200	0,477	0,301	7,738E-2	-0,190	0,205	0,504	0,339	-0,109	-6,509E-2	0,127
1,217	0,478	0,298	7,646E-2	-0,192	0,206	0,502	0,337	-0,115	-7,766E-2	0,139
1,233	0,479	0,295	7,910E-2	-0,195	0,210	0,500	0,336	-0,121	-9,339E-2	0,153
1,250	0,480	0,291	7,744E-2	-0,186	0,201	0,498	0,334	-0,122	-0,110	0,165
1,267	0,482	0,288	7,476E-2	-0,185	0,200	0,496	0,332	-0,129	-0,120	0,177
1,283	0,483	0,285	7,942E-2	-0,191	0,206	0,494	0,330	-0,138	-0,137	0,194
1,300	0,484	0,282	7,705E-2	-0,194	0,209	0,491	0,328	-0,138	-0,154	0,207
1,317	0,486	0,279	7,886E-2	-0,189	0,205	0,489	0,325	-0,141	-0,163	0,216
1,333	0,487	0,276	7,691E-2	-0,175	0,191	0,487	0,322	-0,145	-0,183	0,233
1,350	0,488	0,273	7,438E-2	-0,194	0,207	0,484	0,319	-0,142	-0,204	0,248
1,367	0,489	0,269	7,374E-2	-0,191	0,204	0,482	0,316	-0,139	-0,220	0,260
1,383	0,491	0,267	6,554E-2	-0,165	0,177	0,480	0,312	-0,137	-0,231	0,268
1,400	0,492	0,264	7,581E-2	-0,188	0,203	0,477	0,308	-0,135	-0,244	0,279
1,417	0,493	0,260	7,662E-2	-0,186	0,201	0,475	0,304	-0,129	-0,258	0,288
1,433	0,494	0,258	7,469E-2	-0,167	0,183	0,473	0,299	-0,121	-0,270	0,296
1,450	0,496	0,255	8,252E-2	-0,195	0,211	0,471	0,295	-0,116	-0,293	0,315
1,467	0,497	0,251	7,335E-2	-0,194	0,208	0,469	0,290	-0,109	-0,303	0,322
1,483	0,498	0,248	6,266E-2	-0,176	0,187	0,467	0,285	-0,105	-0,313	0,330
1,500	0,499	0,245	7,208E-2	-0,192	0,205	0,466	0,279	-9,569E-2	-0,334	0,347
1,517	0,500	0,242	7,570E-2	-0,188	0,202	0,464	0,273	-8,019E-2	-0,337	0,346
1,533	0,502	0,239	7,496E-2	-0,173	0,188	0,463	0,268	-6,741E-2	-0,344	0,351
1,550	0,503	0,236	6,967E-2	-0,177	0,191	0,462	0,262	-5,676E-2	-0,361	0,366
1,567	0,504	0,233	7,067E-2	-0,188	0,201	0,461	0,256	-4,129E-2	-0,368	0,370
1,583	0,505	0,230	7,299E-2	-0,188	0,202	0,461	0,250	-2,935E-2	-0,379	0,380
1,600	0,506	0,227	6,980E-2	-0,182	0,195	0,460	0,243	-1,912E-2	-0,391	0,391
1,617	0,508	0,224	6,848E-2	-0,181	0,193	0,460	0,237	-3,144E-3	-0,384	0,384
1,633	0,509	0,221	6,778E-2	-0,186	0,198	0,460	0,230	1,040E-2	-0,384	0,384
1,650	0,510	0,218	7,377E-2	-0,192	0,205	0,460	0,224	2,375E-2	-0,402	0,403
1,667	0,511	0,214	7,907E-2	-0,186	0,202	0,461	0,217	4,252E-2	-0,398	0,400
1,683	0,513	0,211	7,711E-2	-0,180	0,196	0,462	0,211	5,575E-2	-0,394	0,398
1,700	0,514	0,208	6,449E-2	-0,182	0,193	0,463	0,204	6,718E-2	-0,407	0,412
1,717	0,515	0,205	7,479E-2	-0,192	0,206	0,464	0,197	8,483E-2	-0,400	0,409
1,733	0,516	0,202	7,767E-2	-0,188	0,204	0,466	0,191	9,989E-2	-0,389	0,402
1,750	0,517	0,199	7,562E-2	-0,192	0,206	0,467	0,184	0,111	-0,395	0,410
1,767	0,519	0,196	7,465E-2	-0,193	0,207	0,469	0,177	0,128	-0,397	0,417
1,783	0,520	0,193	6,854E-2	-0,186	0,198	0,472	0,171	0,151	-0,391	0,419
1,800	0,521	0,189	6,958E-2	-0,189	0,201	0,474	0,164	0,164	-0,385	0,418
1,817	0,522	0,186	7,074E-2	-0,188	0,201	0,477	0,158	0,175	-0,373	0,413
1,833	0,523	0,183	6,943E-2	-0,185	0,197	0,480	0,152	0,186	-0,353	0,399
1,850	0,524	0,180	6,566E-2	-0,189	0,201	0,483	0,146	0,196	-0,354	0,404
1,867	0,525	0,177	7,271E-2	-0,195	0,208	0,487	0,140	0,205	-0,361	0,415
1,883	0,527	0,174	7,100E-2	-0,186	0,199	0,490	0,134	0,213	-0,336	0,398
1,900	0,528	0,171	6,927E-2	-0,187	0,199	0,494	0,129	0,222	-0,314	0,384
1,917	0,529	0,167	7,561E-2	-0,196	0,210	0,498	0,124	0,237	-0,317	0,396
1,933	0,530	0,164	7,313E-2	-0,185	0,199	0,502	0,118	0,254	-0,306	0,398
1,950	0,532	0,161	6,915E-2	-0,181	0,194	0,506	0,114	0,253	-0,287	0,382
1,967	0,533	0,158				0,510	0,109			
