0,141;4,30398193541802;1891;213,19731122767
0,1412;4,29612795378404;1889;213,419578907912
0,1414;4,29612795378404;1887;213,419578907912
0,1416;4,28041999051609;1885;213,864114268395
0,1418;4,26471202724814;1883;214,308649628878
0,142;4,26471202724814;1881;214,308649628878
0,1422;4,25685804561417;1878;214,530917309119
0,1424;4,2490040639802;1876;214,75318498936
0,1426;4,23329610071225;1874;215,197720349843
0,1428;4,23329610071225;1872;215,197720349843
0,143;4,2175881374443;1870;215,642255710326
0,1432;4,20973415581032;1867;215,864523390568
0,1434;4,19402619254237;1865;216,309058751051
0,1436;4,19402619254237;1862;216,309058751051
0,1438;4,17831822927443;1860;216,753594111534
0,144;4,16261026600648;1857;217,198129472017
0,1442;4,16261026600648;1854;217,198129472017
0,1444;4,14690230273853;1852;217,6426648325
0,1446;4,13904832110455;1849;217,864932512741
0,1448;4,13119433947058;1847;218,087200192983
0,145;4,11548637620263;1844;218,531735553466
0,1452;4,10763239456865;1841;218,754003233707
0,1454;4,09977841293468;1839;218,976270913949
0,1456;4,07621646803276;1835;219,643073954673
0,1458;4,07621646803276;1832;219,643073954673
0,146;4,06050850476481;1830;220,087609315156
0,1462;4,04480054149686;1827;220,532144675639
0,1464;4,04480054149686;1824;220,532144675639
0,1466;4,02909257822891;1821;220,976680036122
0,1468;4,01338461496096;1818;221,421215396605
0,147;4,00553063332699;1815;221,643483076846
0,1472;3,98982267005904;1811;222,088018437329
0,1474;3,98196868842506;1808;222,310286117571
0,1476;3,96626072515711;1805;222,754821478054
0,1478;3,95055276188916;1801;223,199356838537
0,148;3,94269878025519;1798;223,421624518778
0,1482;3,93484479862122;1795;223,64389219902
0,1484;3,91128285371929;1791;224,310695239744
0,1486;3,89557489045134;1788;224,755230600227
0,1488;3,88772090881737;1784;224,977498280468
0,149;3,86415896391545;1781;225,644301321193
0,1492;3,86415896391545;1777;225,644301321193
0,1494;3,84059701901352;1773;226,311104361917
0,1496;3,82488905574557;1769;226,7556397224
0,1498;3,8170350741116;1766;226,977907402642
0,15;3,80132711084365;1762;227,422442763125
0,1502;3,77776516594173;1758;228,089245803849
0,1504;3,76991118430775;1754;228,311513484091
0,1506;3,74634923940583;1750;228,978316524815
0,1508;3,73849525777185;1747;229,200584205057
0,151;3,7227872945039;1743;229,645119565539
0,1512;3,70707933123596;1739;230,089654926022
0,1514;3,68351738633403;1735;230,756457966747
0,1516;3,67566340470006;1730;230,978725646988
0,1518;3,65210145979813;1726;231,645528687713
0,152;3,64424747816416;1721;231,867796367954
0,1522;3,62068553326224;1717;232,534599408679
0,1524;3,60497756999429;1712;232,979134769162
0,1526;3,58926960672634;1708;233,423670129645
0,1528;3,57356164345839;1703;233,868205490128
0,153;3,54999969855647;1699;234,535008530852
0,1532;3,53429173528852;1694;234,979543891335
0,1534;3,52643775365454;1690;235,201811571576
0,1536;3,50287580875262;1685;235,868614612301
0,1538;3,48716784548467;1680;236,313149972784
0,154;3,46360590058275;1676;236,979953013508
0,1542;3,4478979373148;1671;237,424488373991
0,1544;3,43218997404685;1666;237,869023734474
0,1546;3,40862802914493;1662;238,535826775199
0,1548;3,40862802914493;1658;238,535826775199
0,155;3,37721210260903;1653;239,424897496165
0,1552;3,36150413934108;1649;239,869432856647
0,1554;3,34579617607313;1644;240,31396821713
0,1556;3,32223423117121;1639;240,980771257855
0,1558;3,30652626790326;1635;241,425306618338
0,156;3,28296432300133;1629;242,092109659062
0,1562;3,26725635973338;1625;242,536645019545
0,1564;3,25154839646544;1620;242,981180380028
0,1566;3,22798645156351;1616;243,647983420753
0,1568;3,21227848829556;1612;244,092518781236
0,157;3,18871654339364;1607;244,75932182196
0,1572;3,17300858012569;1602;245,203857182443
0,1574;3,15730061685774;1598;245,648392542926
0,1576;3,13373867195582;1593;246,31519558365
0,1578;3,1101767270539;1588;246,981998624375
0,158;3,09446876378595;1583;247,426533984858
0,1582;3,078760800518;1579;247,871069345341
0,1584;3,05519885561607;1574;248,537872386065
0,1586;3,03949089234813;1570;248,982407746548
