Zeit t / s;Weg s_A1 / cm;p;V
0,0278;2,04203522483337;1355;277,210403137216
0,028;2,01847327993144;1351;277,87720617794
0,0282;1,99491133502952;1346;278,544009218665
0,0284;1,96349540849362;1341;279,433079939631
0,0286;1,94778744522567;1337;279,877615300113
0,0288;1,93207948195772;1332;280,322150660596
0,029;1,90066355542182;1328;281,211221381562
0,0292;1,8771016105199;1323;281,878024422287
0,0294;1,86924762888593;1318;282,100292102528
0,0296;1,82997772071605;1314;283,211630503736
0,0298;1,80641577581413;1309;283,87843354446
0,03;1,79070781254618;1305;284,322968904943
0,0302;1,76714586764426;1300;284,989771945667
0,0304;1,74358392274234;1295;285,656574986392
0,0306;1,72787595947439;1291;286,101110346875
0,0308;1,70431401457246;1286;286,767913387599
0,031;1,68075206967054;1282;287,434716428324
0,0312;1,65719012476862;1277;288,101519469048
0,0314;1,64148216150067;1272;288,546054829531
0,0316;1,61006623496477;1268;289,435125550497
0,0318;1,58650429006285;1264;290,101928591221
0,032;1,5707963267949;1259;290,546463951704
0,0322;1,55508836352695;1255;290,990999312187
0,0324;1,52367243699105;1251;291,880070033153
0,0326;1,5079644737231;1246;292,324605393636
0,0328;1,48440252882118;1241;292,991408434361
0,033;1,45298660228528;1237;293,880479155327
0,0332;1,4451326206513;1233;294,102746835568
0,0334;1,41371669411541;1229;294,991817556534
0,0336;1,39015474921348;1225;295,658620597258
0,0338;1,37444678594553;1220;296,103155957741
0,034;1,35873882267759;1216;296,547691318224
0,0342;1,33517687777566;1212;297,214494358949
0,0344;1,31161493287374;1208;297,881297399673
0,0346;1,28805298797182;1203;298,548100440398
0,0348;1,27234502470387;1199;298,992635800881
0,035;1,24878307980194;1195;299,659438841605
0,0352;1,22522113490002;1191;300,326241882329
0,0354;1,20951317163207;1187;300,770777242812
0,0356;1,18595122673015;1183;301,437580283537
0,0358;1,16238928182822;1179;302,104383324261
0,036;1,14668131856027;1176;302,548918684744
0,0362;1,13097335529233;1172;302,993454045227
0,0364;1,09955742875643;1167;303,882524766193
0,0366;1,08384946548848;1164;304,327060126676
0,0368;1,06028752058655;1160;304,9938631674
0,037;1,03672557568463;1156;305,660666208125
0,0372;1,02101761241668;1153;306,105201568608
0,0374;0,997455667514759;1149;306,772004609332
0,0376;0,98174770424681;1146;307,216539969815
0,0378;0,958185759344887;1142;307,88334301054
0,038;0,942477796076938;1139;308,327878371023
0,0382;0,918915851175015;1136;308,994681411747
0,0384;0,895353906273091;1133;309,661484452472
0,0386;0,879645943005142;1130;310,106019812954
0,0388;0,856083998103219;1126;310,772822853679
0,039;0,84037603483527;1123;311,217358214162
0,0392;0,816814089933346;1119;311,884161254886
0,0394;0,793252145031423;1116;312,550964295611
0,0396;0,777544181763474;1113;312,995499656094
0,0398;0,761836218495525;1110;313,440035016577
0,04;0,746128255227576;1107;313,88457037706
0,0402;0,714712328691678;1104;314,773641098026
0,0404;0,699004365423729;1100;315,218176458508
0,0406;0,675442420521806;1097;315,884979499233
0,0408;0,659734457253857;1093;316,329514859716
0,041;0,644026493985908;1090;316,774050220199
0,0412;0,61261056745001;1087;317,663120941165
0,0414;0,61261056745001;1084;317,663120941165
0,0416;0,581194640914112;1080;318,552191662131
0,0418;0,565486677646163;1077;318,996727022614
0,042;0,549778714378214;1074;319,441262383097
0,0422;0,518362787842316;1071;320,330333104062
0,0424;0,518362787842316;1068;320,330333104062
0,0426;0,494800842940392;1065;320,997136144787
0,0428;0,479092879672444;1062;321,44167150527
0,043;0,45553093477052;1059;322,108474545994
0,0432;0,439822971502571;1055;322,553009906477
0,0434;0,424115008234622;1052;322,99754526696
0,0436;0,408407044966673;1049;323,442080627443
0,0438;0,392699081698724;1046;323,886615987926
0,044;0,376991118430775;1044;324,331151348409
0,0442;0,361283155162826;1041;324,775686708892
0,0444;0,337721210260903;1038;325,442489749616
0,0446;0,322013246992954;1035;325,887025110099
0,0448;0,314159265358979;1033;326,109292790341
0,045;0,290597320457056;1030;326,776095831065
0,0452;0,282743338823081;1027;326,998363511307
0,0454;0,267035375555132;1025;327,44289887179
0,0456;0,243473430653209;1022;328,109701912514
0,0458;0,22776546738526;1019;328,554237272997
0,046;0,212057504117311;1017;328,99877263348
0,0462;0,196349540849362;1015;329,443307993963
0,0464;0,188495559215388;1012;329,665575674205
0,0466;0,164933614313464;1010;330,332378714929
0,0468;0,149225651045515;1008;330,776914075412
0,047;0,141371669411541;1005;330,999181755653
0,0472;0,125663706143592;1003;331,443717116136
0,0474;0,102101761241668;1001;332,110520156861
0,0476;0,102101761241668;999;332,110520156861
0,0478;0,0706858347057703;996;332,999590877827
0,048;0,0706858347057703;995;332,999590877827
0,0482;0,0549778714378214;992;333,44412623831
0,0484;0,0392699081698724;991;333,888661598793
0,0486;0,0235619449019235;989;334,333196959276
0,0488;0,00785398163397449;987;334,777732319759
0,049;0;985;335
0,0492;-0,015707963267949;983;335,444535360483
0,0494;-0,0235619449019234;981;335,666803040724
0,0496;-0,0392699081698724;979;336,111338401207
0,0498;-0,0471238898038469;977;336,333606081449
0,05;-0,0628318530717959;975;336,778141441932
0,0502;-0,0785398163397448;973;337,222676802415
0,0504;-0,0863937979737193;972;337,444944482656
0,0506;-0,102101761241668;970;337,889479843139
0,0508;-0,109955742875643;968;338,111747523381
0,051;-0,117809724509617;966;338,334015203622
0,0512;-0,133517687777566;965;338,778550564105
0,0514;-0,141371669411541;963;339,000818244347
0,0516;-0,15707963267949;961;339,44535360483
0,0518;-0,172787595947439;959;339,889888965313
0,052;-0,172787595947439;957;339,889888965313
0,0522;-0,188495559215388;956;340,334424325795
0,0524;-0,196349540849362;954;340,556692006037
0,0526;-0,204203522483337;952;340,778959686278
0,0528;-0,212057504117311;951;341,00122736652
0,053;-0,22776546738526;949;341,445762727003
0,0532;-0,235619449019234;947;341,668030407244
0,0534;-0,251327412287183;946;342,112565767727
0,0536;-0,251327412287183;945;342,112565767727
0,0538;-0,267035375555132;943;342,55710112821
0,054;-0,274889357189107;941;342,779368808452
0,0542;-0,274889357189107;939;342,779368808452
0,0544;-0,290597320457056;938;343,223904168935
0,0546;-0,29845130209103;936;343,446171849176
0,0548;-0,29845130209103;935;343,446171849176
0,055;-0,314159265358979;933;343,890707209659
0,0552;-0,314159265358979;932;343,890707209659
0,0554;-0,322013246992954;930;344,112974889901
0,0556;-0,337721210260903;929;344,557510250384
0,0558;-0,337721210260903;928;344,557510250384
0,056;-0,337721210260903;927;344,557510250384
0,0562;-0,353429173528852;925;345,002045610867
0,0564;-0,361283155162826;924;345,224313291108
0,0566;-0,361283155162826;923;345,224313291108
0,0568;-0,369137136796801;922;345,446580971349
0,057;-0,376991118430775;920;345,668848651591
0,0572;-0,376991118430775;919;345,668848651591
0,0574;-0,392699081698724;918;346,113384012074
0,0576;-0,392699081698724;917;346,113384012074
0,0578;-0,400553063332699;915;346,335651692315
0,058;-0,408407044966673;914;346,557919372557
0,0582;-0,408407044966673;914;346,557919372557
0,0584;-0,408407044966673;913;346,557919372557
0,0586;-0,416261026600648;912;346,780187052798
0,0588;-0,416261026600648;911;346,780187052798
0,059;-0,424115008234622;910;347,00245473304
0,0592;-0,431968989868597;909;347,224722413281
0,0594;-0,431968989868597;908;347,224722413281
0,0596;-0,431968989868597;907;347,224722413281
0,0598;-0,439822971502571;907;347,446990093523
0,06;-0,439822971502571;905;347,446990093523
0,0602;-0,447676953136546;905;347,669257773764
0,0604;-0,447676953136546;904;347,669257773764
0,0606;-0,439822971502571;903;347,446990093523
0,0608;-0,45553093477052;902;347,891525454006
0,061;-0,45553093477052;902;347,891525454006
0,0612;-0,45553093477052;901;347,891525454006
0,0614;-0,463384916404495;901;348,113793134247
0,0616;-0,463384916404495;900;348,113793134247
0,0618;-0,463384916404495;899;348,113793134247
0,062;-0,471238898038469;899;348,336060814489
0,0622;-0,463384916404495;898;348,113793134247
0,0624;-0,463384916404495;898;348,113793134247
0,0626;-0,471238898038469;897;348,336060814489
0,0628;-0,471238898038469;897;348,336060814489
0,063;-0,471238898038469;896;348,336060814489
0,0632;-0,479092879672443;896;348,55832849473
0,0634;-0,471238898038469;895;348,336060814489
0,0636;-0,471238898038469;895;348,336060814489
0,0638;-0,479092879672443;895;348,55832849473
0,064;-0,471238898038469;894;348,336060814489
0,0642;-0,471238898038469;894;348,336060814489
0,0644;-0,471238898038469;894;348,336060814489
0,0646;-0,463384916404495;893;348,113793134247
0,0648;-0,463384916404495;893;348,113793134247
0,065;-0,471238898038469;893;348,336060814489
0,0652;-0,463384916404495;892;348,113793134247
0,0654;-0,463384916404495;892;348,113793134247
0,0656;-0,463384916404495;892;348,113793134247
0,0658;-0,45553093477052;891;347,891525454006
0,066;-0,45553093477052;891;347,891525454006
0,0662;-0,45553093477052;891;347,891525454006
0,0664;-0,447676953136546;891;347,669257773764
0,0666;-0,439822971502571;891;347,446990093523
0,0668;-0,447676953136546;890;347,669257773764
0,067;-0,439822971502571;890;347,446990093523
0,0672;-0,439822971502571;890;347,446990093523
0,0674;-0,431968989868597;890;347,224722413281
0,0676;-0,439822971502571;890;347,446990093523
0,0678;-0,424115008234622;889;347,00245473304
0,068;-0,424115008234622;889;347,00245473304
0,0682;-0,416261026600648;889;346,780187052798
0,0684;-0,416261026600648;889;346,780187052798
0,0686;-0,416261026600648;889;346,780187052798
0,0688;-0,408407044966673;889;346,557919372557
0,069;-0,400553063332699;889;346,335651692315
0,0692;-0,392699081698724;889;346,113384012074
0,0694;-0,38484510006475;889;345,891116331832
0,0696;-0,392699081698724;889;346,113384012074
0,0698;-0,38484510006475;888;345,891116331832
0,07;-0,369137136796801;889;345,446580971349
0,0702;-0,369137136796801;888;345,446580971349
0,0704;-0,361283155162826;889;345,224313291108
0,0706;-0,361283155162826;888;345,224313291108
0,0708;-0,353429173528852;888;345,002045610867
0,071;-0,337721210260903;889;344,557510250384
0,0712;-0,337721210260903;889;344,557510250384
0,0714;-0,322013246992954;889;344,112974889901
0,0716;-0,322013246992954;889;344,112974889901
0,0718;-0,322013246992954;889;344,112974889901
0,072;-0,306305283725005;890;343,668439529418
0,0722;-0,290597320457056;891;343,223904168935
0,0724;-0,282743338823081;890;343,001636488693
0,0726;-0,290597320457056;890;343,223904168935
0,0728;-0,267035375555132;891;342,55710112821
0,073;-0,267035375555132;891;342,55710112821
0,0732;-0,259181393921158;892;342,334833447969
0,0734;-0,251327412287183;892;342,112565767727
0,0736;-0,243473430653209;893;341,890298087486
0,0738;-0,219911485751285;893;341,223495046761
0,074;-0,219911485751285;894;341,223495046761
0,0742;-0,204203522483337;894;340,778959686278
0,0744;-0,204203522483337;895;340,778959686278
0,0746;-0,188495559215388;896;340,334424325795
0,0748;-0,172787595947439;897;339,889888965313
0,075;-0,164933614313464;897;339,667621285071
0,0752;-0,15707963267949;898;339,44535360483
0,0754;-0,141371669411541;899;339,000818244347
0,0756;-0,133517687777566;900;338,778550564105
0,0758;-0,117809724509617;900;338,334015203622
0,076;-0,109955742875643;901;338,111747523381
0,0762;-0,109955742875643;902;338,111747523381
0,0764;-0,0863937979737193;903;337,444944482656
0,0766;-0,0706858347057703;904;337,000409122173
0,0768;-0,0628318530717959;904;336,778141441932
0,077;-0,0471238898038469;905;336,333606081449
0,0772;-0,0471238898038469;907;336,333606081449
0,0774;-0,0314159265358979;907;335,889070720966
0,0776;-0,015707963267949;909;335,444535360483
0,0778;0;909;335
0,078;0,015707963267949;910;334,555464639517
0,0782;0,015707963267949;911;334,555464639517
0,0784;0,0314159265358979;912;334,110929279034
0,0786;0,0471238898038469;913;333,666393918551
0,0788;0,0706858347057703;914;332,999590877827
0,079;0,0706858347057703;915;332,999590877827
0,0792;0,0863937979737193;916;332,555055517344
0,0794;0,102101761241668;917;332,110520156861
0,0796;0,109955742875643;918;331,888252476619
0,0798;0,133517687777566;919;331,221449435895
0,08;0,141371669411541;920;330,999181755653
0,0802;0,15707963267949;921;330,55464639517
0,0804;0,164933614313464;922;330,332378714929
0,0806;0,188495559215388;924;329,665575674205
0,0808;0,204203522483337;924;329,221040313722
0,081;0,219911485751285;926;328,776504953239
0,0812;0,235619449019234;927;328,331969592756
0,0814;0,251327412287183;928;327,887434232273
0,0816;0,259181393921158;929;327,665166552031
0,0818;0,274889357189107;930;327,220631191548
0,082;0,29845130209103;931;326,553828150824
0,0822;0,314159265358979;932;326,109292790341
0,0824;0,329867228626928;934;325,664757429858
0,0826;0,337721210260903;935;325,442489749616
0,0828;0,353429173528852;936;324,997954389134
0,083;0,369137136796801;937;324,553419028651
0,0832;0,392699081698724;939;323,886615987926
0,0834;0,408407044966673;940;323,442080627443
0,0836;0,424115008234622;941;322,99754526696
0,0838;0,439822971502571;943;322,553009906477
0,084;0,45553093477052;944;322,108474545994
0,0842;0,479092879672444;946;321,44167150527
0,0844;0,486946861306418;947;321,219403825028
0,0846;0,510508806208341;948;320,552600784304
0,0848;0,52621676947629;950;320,108065423821
0,085;0,541924732744239;951;319,663530063338
0,0852;0,557632696012188;953;319,218994702855
0,0854;0,573340659280137;954;318,774459342372
0,0856;0,596902604182061;956;318,107656301648
0,0858;0,61261056745001;957;317,663120941165
0,086;0,636172512351933;959;316,99631790044
0,0862;0,651880475619882;961;316,551782539957
0,0864;0,675442420521806;962;315,884979499233
0,0866;0,691150383789755;964;315,44044413875
0,0868;0,706858347057704;966;314,995908778267
0,087;0,730420291959627;967;314,329105737543
0,0872;0,738274273593601;969;314,106838057301
0,0874;0,769690200129499;971;313,217767336335
0,0876;0,793252145031423;972;312,550964295611
0,0878;0,808960108299372;974;312,106428935128
0,088;0,832522053201295;976;311,439625894403
0,0882;0,848230016469244;978;310,99509053392
0,0884;0,863937979737193;979;310,550555173437
0,0886;0,887499924639117;981;309,883752132713
0,0888;0,903207887907066;983;309,43921677223
0,089;0,934623814442964;985;308,550146051264
0,0892;0,950331777710912;987;308,105610690781
0,0894;0,966039740978861;988;307,661075330298
0,0896;0,997455667514759;991;306,772004609332
0,0898;1,01316363078271;993;306,327469248849
0,09;1,02887159405066;995;305,882933888366
0,0902;1,05243353895258;996;305,216130847642
0,0904;1,06814150222053;999;304,771595487159
0,0906;1,09170344712245;1001;304,104792446435
0,0908;1,11526539202438;1003;303,43798940571
0,091;1,13097335529233;1005;302,993454045227
0,0912;1,15453530019425;1007;302,326651004503
0,0914;1,17809724509617;1009;301,659847963778
0,0916;1,19380520836412;1011;301,215312603295
0,0918;1,21736715326604;1014;300,548509562571
0,092;1,24092909816797;1016;299,881706521846
0,0922;1,25663706143592;1018;299,437171161364
0,0924;1,28019900633784;1021;298,770368120639
0,0926;1,30376095123976;1023;298,103565079915
0,0928;1,32732289614169;1025;297,43676203919
0,093;1,35088484104361;1028;296,769958998466
0,0932;1,37444678594553;1030;296,103155957741
0,0934;1,39015474921348;1033;295,658620597258
0,0936;1,41371669411541;1036;294,991817556534
0,0938;1,43727863901733;1038;294,32501451581
0,094;1,45298660228528;1041;293,880479155327
0,0942;1,46869456555323;1044;293,435943794844
0,0944;1,50011049208913;1047;292,546873073878
0,0946;1,51581845535708;1049;292,102337713395
0,0948;1,539380400259;1053;291,43553467267
0,095;1,56294234516092;1055;290,768731631946
0,0952;1,58650429006285;1059;290,101928591221
0,0954;1,60221225333079;1062;289,657393230739
0,0956;1,62577419823272;1065;288,990590190014
0,0958;1,64933614313464;1067;288,32378714929
0,096;1,66504410640259;1071;287,879251788807
0,0962;1,68860605130451;1074;287,212448748082
