Date,Time,Time since 1970-01-01T00:00:00Z,,Time since start of measurement,,,
2025-12-09,14:10:52.535476,1765285852.535476,s,19.767532,s,73.0,°C
2025-12-09,14:10:52.784367,1765285852.784367,s,20.016423,s,73.0,°C
2025-12-09,14:10:53.035827,1765285853.035827,s,20.267883,s,73.0,°C
2025-12-09,14:10:53.284863,1765285853.284863,s,20.516919,s,73.0,°C
2025-12-09,14:10:53.536219,1765285853.536219,s,20.768275,s,73.0,°C
2025-12-09,14:10:53.785239,1765285853.785239,s,21.017295,s,73.0,°C
2025-12-09,14:10:54.036625,1765285854.036625,s,21.268681,s,73.0,°C
2025-12-09,14:10:54.295434,1765285854.295434,s,21.52749,s,73.0,°C
2025-12-09,14:10:54.537005,1765285854.537005,s,21.769061,s,73.0,°C
2025-12-09,14:10:54.795876,1765285854.795876,s,22.027932,s,73.0,°C
2025-12-09,14:10:55.037285,1765285855.037285,s,22.269341,s,73.0,°C
2025-12-09,14:10:55.296246,1765285855.296246,s,22.528302,s,73.0,°C
2025-12-09,14:10:55.537601,1765285855.537601,s,22.769657,s,73.0,°C
2025-12-09,14:10:55.796722,1765285855.796722,s,23.028778,s,73.0,°C
2025-12-09,14:10:56.037912,1765285856.037912,s,23.269968,s,73.0,°C
2025-12-09,14:10:56.297100,1765285856.2971,s,23.529156,s,73.0,°C
2025-12-09,14:10:56.538147,1765285856.538147,s,23.770203,s,73.0,°C
2025-12-09,14:10:56.797576,1765285856.797576,s,24.029632,s,73.0,°C
2025-12-09,14:10:57.038449,1765285857.038449,s,24.270505,s,73.0,°C
2025-12-09,14:10:57.298038,1765285857.298038,s,24.530094,s,73.0,°C
2025-12-09,14:10:57.538963,1765285857.538963,s,24.771019,s,73.0,°C
2025-12-09,14:10:57.798549,1765285857.798549,s,25.030605,s,73.0,°C
2025-12-09,14:10:58.039249,1765285858.039249,s,25.271305,s,73.0,°C
2025-12-09,14:10:58.299065,1765285858.299065,s,25.531121,s,73.0,°C
2025-12-09,14:10:58.539740,1765285858.53974,s,25.771796,s,73.0,°C
2025-12-09,14:10:58.799575,1765285858.799575,s,26.031631,s,73.0,°C
2025-12-09,14:10:59.040139,1765285859.040139,s,26.272195,s,73.0,°C
2025-12-09,14:10:59.300083,1765285859.300083,s,26.532139,s,73.0,°C
2025-12-09,14:10:59.540577,1765285859.540577,s,26.772633,s,73.0,°C
2025-12-09,14:10:59.800540,1765285859.80054,s,27.032596,s,73.0,°C
2025-12-09,14:11:00.041018,1765285860.041018,s,27.273074,s,73.0,°C
2025-12-09,14:11:00.301007,1765285860.301007,s,27.533063,s,73.0,°C
2025-12-09,14:11:00.541513,1765285860.541513,s,27.773569,s,73.0,°C
2025-12-09,14:11:00.801477,1765285860.801477,s,28.033533,s,73.0,°C
2025-12-09,14:11:01.042009,1765285861.042009,s,28.274065,s,73.0,°C
2025-12-09,14:11:01.301959,1765285861.301959,s,28.534015,s,73.0,°C
2025-12-09,14:11:01.542529,1765285861.542529,s,28.774585,s,73.0,°C
2025-12-09,14:11:01.802436,1765285861.802436,s,29.034492,s,73.0,°C
2025-12-09,14:11:02.043063,1765285862.043063,s,29.275119,s,73.0,°C
2025-12-09,14:11:02.302913,1765285862.302913,s,29.534969,s,73.0,°C
2025-12-09,14:11:02.543460,1765285862.54346,s,29.775516,s,73.0,°C
2025-12-09,14:11:02.803146,1765285862.803146,s,30.035202,s,73.0,°C
2025-12-09,14:11:03.043978,1765285863.043978,s,30.276034,s,72.0,°C
2025-12-09,14:11:03.303645,1765285863.303645,s,30.535701,s,72.0,°C
2025-12-09,14:11:03.544455,1765285863.544455,s,30.776511,s,72.0,°C
2025-12-09,14:11:03.804083,1765285863.804083,s,31.036139,s,72.0,°C
2025-12-09,14:11:04.044960,1765285864.04496,s,31.277016,s,72.0,°C
2025-12-09,14:11:04.304377,1765285864.304377,s,31.536433,s,73.0,°C
