Date,Time,Time since 1970-01-01T00:00:00Z,,Time since start of measurement,,counts,
2026-03-10,13:13:34.290309,1773144814.290309,s,4e-06,s,1,Ct
2026-03-10,13:14:34.291020,1773144874.29102,s,60.000715,s,8,Ct
2026-03-10,13:15:34.291036,1773144934.291036,s,120.000731,s,19,Ct
2026-03-10,13:16:34.291532,1773144994.291532,s,180.001227,s,30,Ct
2026-03-10,13:17:34.291317,1773145054.291317,s,240.001012,s,38,Ct
2026-03-10,13:18:34.291899,1773145114.291899,s,300.001594,s,42,Ct
2026-03-10,13:19:34.291645,1773145174.291645,s,360.00134,s,46,Ct
2026-03-10,13:20:34.292183,1773145234.292183,s,420.001878,s,53,Ct
