Zeit t / s;Spannungsquelle S_1;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Rate R_A / 1/s
123;1;14;123;454,778947368421;224,442249898001
124;1;8;124;458,794736842105;283,330562990051
125;1;9;125;462,81052631579;246,664254838397
126;1;10;126;466,826315789474;227,77555063906
127;1;7;127;470,842105263158;249,246804185504
128;1;9;128;474,857894736842;252,219756073496
129;1;9;129;478,873684210526;252,219756073496
130;1;13;130;482,889473684211;245,553154591377
131;1;9;131;486,905263157895;237,775452862239
132;1;5;132;490,921052631579;215,553423971696
133;1;5;133;494,936842105263;206,664645945684
134;1;6;134;498,952631578947;228,632591753533
135;1;10;135;502,968421052632;255,553056814556
136;1;12;136;506,984210526316;238,886526566571
137;1;12;137;511;273,330660766873
138;1;7;138;515,015789473684;246,664227431529
139;1;5;139;519,031578947368;264,441829408576
140;1;10;140;523,047368421053;245,553127307963
141;1;9;141;527,063157894737;252,219756073496
142,001;1;7;142;531,078947368421;247,775327555094
143;1;14;143;535,094736842105;235,553226195874
144;1;9;144;539,110526315789;212,220123601
145;1;4;145;543,126315789474;242,219826937267
146;1;8;146;547,142105263158;235,553226195874
147;1;4;147;551,157894736842;249,997500025
148;1;4;148;555,173684210526;243,330927060832
149;1;9;149;559,189473684211;269,997330026403
150;1;13;150;563,205263157895;245,553127307963
151;1;7;151;567,221052631579;244,170701957472
152;1;6;152;571,236842105263;264,261645455165
153;1;6;153;575,252631578947;254,441900025444
154;1;7;154;579,268421052632;237,775400023778
155,001;1;7;155;583,284210526316;253,330828172921
156;1;8;156;587,3;265,258171671981
157;1;5;157;591,315789473684;254,2517091921
158;1;5;158;595,331578947368;242,219826937267
159;1;11;159;599,347368421053;238,886500023889
160;1;10;160;603,363157894737;238,886500023889
161;1;8;161;607,378947368421;202,220200020222
162;1;11;162;611,394736842105;236,664300023666
163;1;7;163;615,410526315789;247,775300024778
164;1;3;164;619,426315789474;248,886400024889
165;1;6;165;623,442105263158;217,533898107566
166,001;1;6;166;627,457894736842;236,233871532817
167;1;10;167;631,473684210526;258,886271261035
168;1;4;168;635,489473684211;207,775700020778
169;1;1;169;639,505263157895;247,50030243871
170;1;6;170;643,521052631579;243,99753562489
