Zeit t / s;Spannungsquelle S_1;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Rate R_A / 1/s
0;1;0;0;-39,1631578947369;
0,1;1;369;1;-35,1473684210526;
0,2;1;1405;2;-31,1315789473684;
0,3;1;1621;3;-27,1157894736842;
0,4;1;1603;4;-23,1;
0,5;1;1717;5;-19,0842105263158;
0,6;1;1768;6;-15,0684210526316;
0,7;1;1779;7;-11,0526315789474;
0,801;1;1880;8;-7,03684210526319;
0,9;1;1949;9;-3,02105263157898;134,488590324218
1;1;1859;10;0,994736842105283;134,488590324218
1,1;1;1729;11;5,01052631578949;134,488590324218
1,2;1;1517;12;9,0263157894737;134,488590324218
1,3;1;1349;13;13,0421052631579;134,488590324218
1,401;1;1222;14;17,0578947368421;134,488590324218
1,502;1;1216;15;21,0736842105263;134,488590324218
1,6;1;1114;16;25,0894736842105;134,488590324218
1,7;1;999;17;29,1052631578947;134,488590324218
1,801;1;849;18;33,1210526315789;135,403452344089
1,9;1;737;19;37,1368421052632;135,403452344089
2;1;692;20;41,1526315789474;135,403452344089
2,1;1;590;21;45,1684210526316;135,403452344089
2,201;1;566;22;49,1842105263158;135,403452344089
2,3;1;461;23;53,2;135,403452344089
2,4;1;450;24;57,2157894736842;135,403452344089
2,5;1;880;25;61,2315789473684;135,403452344089
2,601;1;1866;26;65,2473684210526;135,403452344089
2,7;1;2370;27;69,2631578947368;135,403452344089
2,8;1;1498;28;73,278947368421;144,998216521937
2,9;1;602;29;77,2947368421052;144,998216521937
3;1;254;30;81,3105263157894;144,998216521937
3,102;1;156;31;85,3263157894737;144,998216521937
3,201;1;133;32;89,3421052631579;144,998216521937
3,3;1;134;33;93,3578947368421;144,998216521937
3,401;1;148;34;97,3736842105263;144,998216521937
3,5;1;153;35;101,389473684211;144,998216521937
3,6;1;130;36;105,405263157895;144,998216521937
3,701;1;130;37;109,421052631579;134,442801254651
3,801;1;128;38;113,436842105263;134,442801254651
3,901;1;110;39;117,452631578947;134,442801254651
4;1;116;40;121,468421052632;134,442801254651
4,1;1;98;41;125,484210526316;134,442801254651
4,2;1;109;42;129,5;134,442801254651
4,3;1;95;43;133,515789473684;134,442801254651
4,4;1;113;44;137,531578947368;134,442801254651
4,5;1;102;45;141,547368421053;134,442801254651
4,601;1;121;46;145,563157894737;127,63438763407
4,7;1;104;47;149,578947368421;127,63438763407
4,8;1;125;48;153,594736842105;127,63438763407
4,9;1;120;49;157,610526315789;127,63438763407
5;1;111;50;161,626315789474;127,63438763407
5,1;1;69;51;165,642105263158;127,63438763407
5,201;1;59;52;169,657894736842;127,63438763407
5,3;1;56;53;173,673684210526;127,63438763407
5,401;1;51;54;177,689473684211;127,63438763407
5,501;1;35;55;181,705263157895;127,63438763407
5,6;1;38;56;185,721052631579;132,262912216905
5,7;1;29;57;189,736842105263;132,262912216905
5,8;1;31;58;193,752631578947;132,262912216905
5,9;1;41;59;197,768421052632;132,262912216905
6;1;77;60;201,784210526316;132,262912216905
6,1;1;109;61;205,8;132,262912216905
6,2;1;176;62;209,815789473684;132,262912216905
6,3;1;203;63;213,831578947368;132,262912216905
6,4;1;160;64;217,847368421053;132,262912216905
6,5;1;109;65;221,863157894737;121,949718800578
6,6;1;59;66;225,878947368421;121,949718800578
6,7;1;28;67;229,894736842105;121,949718800578
6,801;1;14;68;233,910526315789;121,949718800578
6,9;1;10;69;237,926315789474;121,949718800578
7;1;11;70;241,942105263158;121,949718800578
7,1;1;16;71;245,957894736842;121,949718800578
7,2;1;15;72;249,973684210526;121,949718800578
7,3;1;14;73;253,989473684211;121,949718800578
7,4;1;14;74;258,005263157895;121,949718800578
7,5;1;11;75;262,021052631579;131,866524703695
7,6;1;10;76;266,036842105263;131,866524703695
7,7;1;5;77;270,052631578947;131,866524703695
7,8;1;7;78;274,068421052632;131,866524703695
7,9;1;6;79;278,084210526316;131,866524703695
8;1;2;80;282,1;131,866524703695
