TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-1.9109e-02,1.3,1.1,-0.08,-0.088
-1.9101e-02,1.3,1.5,-0.08,-0.076
-1.9094e-02,1.3,1.1,-0.084,-0.084
-1.9086e-02,1.3,1.5,-0.08,-0.076
-1.9078e-02,1.3,1.1,-0.08,-0.084
-1.9071e-02,1.5,1.5,-0.08,-0.076
-1.9063e-02,1.5,1.1,-0.076,-0.084
-1.9055e-02,1.3,1.5,-0.08,-0.076
-1.9048e-02,1.5,1.1,-0.08,-0.08
-1.9040e-02,1.5,1.7,-0.076,-0.076
-1.9032e-02,1.5,1.3,-0.076,-0.08
-1.9025e-02,1.5,1.7,-0.076,-0.072
-1.9017e-02,1.3,1.3,-0.076,-0.08
-1.9009e-02,1.5,1.7,-0.076,-0.072
-1.9002e-02,1.5,1.3,-0.076,-0.08
-1.8994e-02,1.5,1.7,-0.076,-0.072
-1.8986e-02,1.5,1.3,-0.072,-0.084
-1.8978e-02,1.5,1.7,-0.076,-0.064
-1.8971e-02,1.5,1.3,-0.072,-0.076
-1.8963e-02,1.5,1.7,-0.072,-0.068
-1.8955e-02,1.5,1.3,-0.072,-0.076
-1.8948e-02,1.5,1.7,-0.072,-0.068
-1.8940e-02,1.5,1.3,-0.072,-0.076
-1.8932e-02,1.7,1.7,-0.072,-0.068
-1.8925e-02,1.7,1.3,-0.072,-0.076
-1.8917e-02,1.5,1.7,-0.068,-0.068
-1.8909e-02,1.7,1.3,-0.068,-0.072
-1.8902e-02,1.7,1.9,-0.068,-0.064
-1.8894e-02,1.7,1.3,-0.068,-0.072
-1.8886e-02,1.7,1.9,-0.068,-0.064
-1.8879e-02,1.7,1.5,-0.068,-0.072
-1.8871e-02,1.7,1.9,-0.068,-0.064
-1.8863e-02,1.7,1.5,-0.064,-0.072
-1.8856e-02,1.7,1.9,-0.064,-0.064
-1.8848e-02,1.7,1.5,-0.064,-0.068
-1.8840e-02,1.7,1.9,-0.064,-0.06
-1.8833e-02,1.7,1.5,-0.064,-0.068
-1.8825e-02,1.7,1.9,-0.064,-0.06
-1.8817e-02,1.9,1.5,-0.064,-0.068
-1.8810e-02,1.7,1.9,-0.064,-0.06
-1.8802e-02,1.9,1.5,-0.06,-0.068
-1.8794e-02,1.9,1.9,-0.06,-0.056
-1.8786e-02,1.7,1.5,-0.06,-0.068
-1.8779e-02,1.7,1.9,-0.06,-0.052
-1.8771e-02,1.9,1.5,-0.06,-0.064
-1.8763e-02,1.7,1.9,-0.06,-0.056
-1.8756e-02,1.9,1.5,-0.056,-0.064
-1.8748e-02,1.7,1.9,-0.056,-0.056
-1.8740e-02,1.9,1.5,-0.056,-0.06
-1.8733e-02,1.9,1.9,-0.056,-0.052
-1.8725e-02,1.7,1.5,-0.056,-0.06
-1.8717e-02,1.9,1.9,-0.056,-0.052
-1.8710e-02,1.9,1.5,-0.056,-0.06
-1.8702e-02,1.9,2.1,-0.056,-0.052
-1.8694e-02,1.9,1.5,-0.056,-0.06
-1.8687e-02,1.9,2.1,-0.056,-0.048
-1.8679e-02,1.9,1.5,-0.052,-0.056
-1.8671e-02,1.9,2.1,-0.052,-0.048
-1.8664e-02,1.9,1.7,-0.052,-0.056
-1.8656e-02,1.9,2.1,-0.052,-0.048
-1.8648e-02,1.9,1.7,-0.052,-0.056
-1.8641e-02,1.9,2.1,-0.048,-0.048
-1.8633e-02,1.9,1.7,-0.048,-0.052
-1.8625e-02,1.9,2.1,-0.048,-0.048
-1.8618e-02,1.9,1.7,-0.048,-0.052
-1.8610e-02,1.9,2.1,-0.048,-0.044
-1.8602e-02,1.9,1.7,-0.048,-0.052
-1.8594e-02,1.9,2.1,-0.044,-0.044
-1.8587e-02,1.9,1.7,-0.048,-0.056
-1.8579e-02,1.9,2.1,-0.048,-0.04
-1.8571e-02,1.9,1.7,-0.044,-0.048
-1.8564e-02,1.9,2.1,-0.044,-0.04
-1.8556e-02,2.1,1.7,-0.044,-0.048
-1.8548e-02,2.1,2.1,-0.044,-0.04
-1.8541e-02,2.1,1.7,-0.044,-0.048
-1.8533e-02,2.1,2.1,-0.044,-0.04
-1.8525e-02,1.9,1.7,-0.044,-0.048
-1.8518e-02,1.9,2.1,-0.04,-0.036
-1.8510e-02,2.1,1.7,-0.04,-0.044
-1.8502e-02,2.1,2.1,-0.04,-0.036
-1.8495e-02,1.9,1.7,-0.04,-0.044
-1.8487e-02,1.9,2.1,-0.04,-0.036
-1.8479e-02,2.1,1.7,-0.036,-0.044
-1.8472e-02,1.9,2.3,-0.04,-0.036
-1.8464e-02,1.9,1.7,-0.036,-0.04
-1.8456e-02,2.1,2.3,-0.04,-0.032
-1.8449e-02,2.1,1.7,-0.036,-0.04
-1.8441e-02,1.9,2.3,-0.036,-0.032
-1.8433e-02,2.1,1.9,-0.036,-0.04
-1.8425e-02,2.1,2.3,-0.036,-0.032
-1.8418e-02,2.1,1.9,-0.036,-0.04
-1.8410e-02,2.1,2.3,-0.036,-0.032
-1.8402e-02,2.1,1.9,-0.032,-0.036
-1.8395e-02,2.1,2.3,-0.032,-0.028
-1.8387e-02,2.1,1.9,-0.032,-0.036
-1.8379e-02,2.1,2.3,-0.032,-0.028
-1.8372e-02,2.1,1.9,-0.028,-0.036
-1.8364e-02,2.1,2.3,-0.028,-0.028
-1.8356e-02,2.1,1.9,-0.032,-0.032
-1.8349e-02,2.1,2.3,-0.028,-0.028
-1.8341e-02,2.1,1.9,-0.028,-0.036
-1.8333e-02,2.1,2.3,-0.028,-0.024
-1.8326e-02,2.3,1.9,-0.028,-0.032
-1.8318e-02,2.1,2.3,-0.028,-0.024
-1.8310e-02,2.1,1.9,-0.028,-0.032
-1.8303e-02,2.1,2.3,-0.024,-0.024
-1.8295e-02,2.1,1.9,-0.024,-0.028
-1.8287e-02,2.1,2.3,-0.024,-0.02
-1.8280e-02,2.1,1.9,-0.024,-0.028
-1.8272e-02,2.1,2.3,-0.024,-0.02
-1.8264e-02,2.1,1.9,-0.024,-0.028
-1.8257e-02,2.3,2.3,-0.024,-0.02
-1.8249e-02,2.3,1.9,-0.02,-0.028
-1.8241e-02,2.1,2.3,-0.02,-0.016
-1.8233e-02,2.3,1.9,-0.02,-0.024
-1.8226e-02,2.3,2.5,-0.02,-0.016
-1.8218e-02,2.3,1.9,-0.02,-0.024
-1.8210e-02,2.3,2.5,-0.02,-0.016
-1.8203e-02,2.3,2.1,-0.02,-0.024
-1.8195e-02,2.3,2.5,-0.016,-0.016
-1.8187e-02,2.3,1.9,-0.016,-0.02
-1.8180e-02,2.3,2.5,-0.016,-0.012
-1.8172e-02,2.3,2.1,-0.016,-0.02
-1.8164e-02,2.3,2.5,-0.016,-0.012
-1.8157e-02,2.3,2.1,-0.016,-0.02
-1.8149e-02,2.3,2.5,-0.016,-0.012
-1.8141e-02,2.3,2.1,-0.016,-0.02
-1.8134e-02,2.3,2.5,-0.012,-0.008
-1.8126e-02,2.3,2.1,-0.012,-0.02
-1.8118e-02,2.3,2.5,-0.012,-0.008
-1.8111e-02,2.5,2.1,-0.012,-0.016
-1.8103e-02,2.3,2.5,-0.012,-0.008
-1.8095e-02,2.5,2.1,-0.012,-0.016
-1.8088e-02,2.3,2.5,-0.012,-0.004
-1.8080e-02,2.3,2.1,-0.008,-0.016
-1.8072e-02,2.3,2.5,-0.008,8.9407e-11
-1.8065e-02,2.3,2.1,-0.004,-0.012
-1.8057e-02,2.3,2.5,-0.008,-0.004
-1.8049e-02,2.5,2.1,-0.004,-0.012
-1.8041e-02,2.5,2.5,-0.004,8.9407e-11
-1.8034e-02,2.5,2.1,-0.008,-0.012
-1.8026e-02,2.5,2.5,-0.004,8.9407e-11
-1.8018e-02,2.5,2.1,-0.004,-0.008
-1.8011e-02,2.5,2.7,-0.004,8.9407e-11
-1.8003e-02,2.5,2.1,-0.004,-0.008
-1.7995e-02,2.5,2.7,8.9407e-11,8.9407e-11
-1.7988e-02,2.5,2.3,8.9407e-11,-0.008
-1.7980e-02,2.5,2.7,8.9407e-11,0.004
-1.7972e-02,2.5,2.3,8.9407e-11,-0.008
-1.7965e-02,2.5,2.7,8.9407e-11,0.004
-1.7957e-02,2.5,2.3,8.9407e-11,-0.008
-1.7949e-02,2.5,2.7,8.9407e-11,0.008
-1.7942e-02,2.5,2.3,0.004,-0.004
-1.7934e-02,2.5,2.7,8.9407e-11,0.008
-1.7926e-02,2.5,2.3,0.004,-0.004
-1.7919e-02,2.5,2.7,0.004,0.008
-1.7911e-02,2.5,2.3,0.008,8.9407e-11
-1.7903e-02,2.5,2.7,0.008,0.008
-1.7896e-02,2.5,2.3,0.008,8.9407e-11
-1.7888e-02,2.7,2.7,0.008,0.012
-1.7880e-02,2.5,2.3,0.008,8.9407e-11
-1.7873e-02,2.5,2.7,0.008,0.012
-1.7865e-02,2.7,2.3,0.008,0.004
-1.7857e-02,2.7,2.7,0.008,0.012
-1.7849e-02,2.7,2.3,0.012,0.004
-1.7842e-02,2.5,2.7,0.012,0.016
-1.7834e-02,2.7,2.3,0.012,0.004
-1.7826e-02,2.5,2.7,0.012,0.016
-1.7819e-02,2.7,2.3,0.012,0.004
-1.7811e-02,2.7,2.7,0.012,0.016
-1.7803e-02,2.7,2.3,0.016,0.008
-1.7796e-02,2.7,2.7,0.016,0.016
-1.7788e-02,2.7,2.5,0.016,0.008
-1.7780e-02,2.7,2.9,0.016,0.02
-1.7773e-02,2.7,2.3,0.016,0.008
-1.7765e-02,2.7,2.9,0.016,0.02
-1.7757e-02,2.7,2.5,0.016,0.008
-1.7750e-02,2.7,2.9,0.016,0.024
-1.7742e-02,2.7,2.5,0.016,0.012
-1.7734e-02,2.7,2.9,0.02,0.024
-1.7727e-02,2.9,2.5,0.02,0.012
-1.7719e-02,2.7,2.9,0.02,0.024
-1.7711e-02,2.7,2.5,0.02,0.016
-1.7704e-02,2.7,2.9,0.02,0.024
-1.7696e-02,2.7,2.5,0.024,0.016
-1.7688e-02,2.9,2.9,0.024,0.028
-1.7680e-02,2.7,2.5,0.024,0.016
-1.7673e-02,2.9,2.9,0.024,0.028
-1.7665e-02,2.9,2.5,0.024,0.016
-1.7657e-02,2.9,2.9,0.028,0.028
-1.7650e-02,2.9,2.5,0.028,0.02
-1.7642e-02,2.7,2.9,0.024,0.032
-1.7634e-02,2.9,2.5,0.028,0.016
-1.7627e-02,2.9,3.1,0.028,0.032
-1.7619e-02,2.9,2.7,0.028,0.02
-1.7611e-02,2.9,3.1,0.028,0.032
-1.7604e-02,2.9,2.7,0.028,0.024
-1.7596e-02,2.9,3.1,0.032,0.032
-1.7588e-02,2.9,2.7,0.032,0.024
-1.7581e-02,2.9,3.1,0.032,0.036
-1.7573e-02,2.9,2.7,0.032,0.024
-1.7565e-02,2.9,3.1,0.032,0.036
-1.7558e-02,2.9,2.7,0.032,0.024
-1.7550e-02,3.1,3.1,0.032,0.04
-1.7542e-02,2.9,2.7,0.032,0.028
-1.7535e-02,2.9,3.1,0.036,0.04
-1.7527e-02,2.9,2.7,0.036,0.028
-1.7519e-02,2.9,3.1,0.036,0.04
-1.7512e-02,2.9,2.7,0.04,0.032
-1.7504e-02,2.9,3.1,0.036,0.04
-1.7496e-02,3.1,2.7,0.036,0.032
-1.7488e-02,3.1,3.1,0.04,0.04
-1.7481e-02,3.1,2.7,0.04,0.032
-1.7473e-02,3.1,3.3,0.04,0.044
-1.7465e-02,3.1,2.9,0.04,0.036
-1.7458e-02,3.1,3.3,0.04,0.044
-1.7450e-02,3.1,2.9,0.04,0.036
-1.7442e-02,3.1,3.3,0.04,0.044
-1.7435e-02,3.1,2.9,0.04,0.036
-1.7427e-02,3.1,3.3,0.044,0.048
-1.7419e-02,3.1,2.9,0.044,0.04
-1.7412e-02,3.1,3.3,0.044,0.048
-1.7404e-02,3.1,2.9,0.044,0.04
-1.7396e-02,3.1,3.3,0.044,0.048
-1.7389e-02,3.1,2.9,0.048,0.04
-1.7381e-02,3.1,3.3,0.048,0.052
-1.7373e-02,3.3,2.9,0.048,0.044
-1.7366e-02,3.1,3.3,0.048,0.052
-1.7358e-02,3.3,2.9,0.048,0.04
-1.7350e-02,3.3,3.3,0.052,0.056
-1.7343e-02,3.3,2.9,0.052,0.044
-1.7335e-02,3.3,3.3,0.052,0.052
-1.7327e-02,3.3,2.9,0.052,0.048
-1.7320e-02,3.3,3.5,0.052,0.056
-1.7312e-02,3.3,3.1,0.052,0.048
-1.7304e-02,3.3,3.5,0.056,0.056
-1.7296e-02,3.3,3.1,0.056,0.048
-1.7289e-02,3.3,3.5,0.056,0.056
-1.7281e-02,3.3,3.1,0.056,0.048
-1.7273e-02,3.3,3.5,0.056,0.06
-1.7266e-02,3.3,3.1,0.056,0.052
-1.7258e-02,3.3,3.5,0.06,0.06
-1.7250e-02,3.3,3.1,0.056,0.052
-1.7243e-02,3.3,3.5,0.056,0.06
-1.7235e-02,3.3,3.1,0.056,0.056
