t	x	
0,000	5,078E-2
0,017	5,097E-2
0,033	5,111E-2
0,050	5,124E-2
0,067	5,141E-2
0,083	5,192E-2
0,100	5,251E-2
0,117	5,313E-2
0,133	5,396E-2
0,150	5,471E-2
0,167	5,376E-2
0,183	5,463E-2
0,200	5,564E-2
0,217	5,680E-2
0,233	5,779E-2
0,250	5,896E-2
0,267	6,031E-2
0,283	6,160E-2
0,300	6,296E-2
0,317	6,445E-2
0,333	6,595E-2
0,350	6,739E-2
0,367	6,899E-2
0,383	6,882E-2
0,400	7,051E-2
0,417	7,225E-2
0,433	7,427E-2
0,450	7,614E-2
0,467	7,837E-2
0,483	8,040E-2
0,500	8,258E-2
0,517	8,478E-2
0,533	8,697E-2
0,550	8,923E-2
0,567	9,157E-2
0,583	9,234E-2
0,600	9,476E-2
0,617	9,729E-2
0,633	9,994E-2
0,650	0,103
0,667	0,105
0,683	0,108
0,700	0,111
0,717	0,114
0,733	0,117
0,750	0,120
0,767	0,123
0,783	0,125
0,800	0,128
0,817	0,131
0,833	0,135
0,850	0,138
0,867	0,142
0,883	0,145
0,900	0,149
0,917	0,153
0,933	0,156
0,950	0,160
0,967	0,164
0,983	0,167
1,000	0,171
1,017	0,175
1,033	0,179
1,050	0,183
1,067	0,188
1,083	0,192
1,100	0,196
1,117	0,200
1,133	0,205
1,150	0,210
1,167	0,214
1,183	0,218
1,200	0,223
1,217	0,228
1,233	0,232
1,250	0,237
1,267	0,243
1,283	0,248
1,300	0,253
1,317	0,258
1,333	0,263
1,350	0,268
1,367	0,274
1,383	0,279
1,400	0,285
1,417	0,290
1,433	0,296
1,450	0,301
1,467	0,307
1,483	0,312
1,500	0,318
1,517	0,324
1,533	0,330
1,550	0,336
1,567	0,342
1,583	0,348
1,600	0,354
1,617	0,361
1,633	0,367
1,650	0,373
1,667	0,379
1,683	0,386
1,700	0,393
1,717	0,399
1,733	0,406
1,750	0,413
1,767	0,419
1,783	0,426
1,800	0,433
1,817	0,440
1,833	0,447
1,850	0,454
1,867	0,462
1,883	0,469
1,900	0,476
1,917	0,484
1,933	0,491
1,950	0,498
1,967	0,506
1,983	0,513
