t;x;y;vx;vy;ax;ay;
0,000;3,071E-2;-0,310;;;;
0,017;3,073E-2;-0,310;3,044E-3;7,513E-3;;
0,033;3,081E-2;-0,310;1,096E-2;1,906E-2;0,312;0,397
0,050;3,109E-2;-0,310;1,517E-2;2,120E-2;6,644E-2;7,688E-2
0,067;3,131E-2;-0,309;1,198E-2;2,025E-2;-9,251E-2;0,161
0,083;3,149E-2;-0,309;1,179E-2;2,649E-2;-0,324;0,328
0,100;3,171E-2;-0,309;3,130E-3;3,236E-2;-5,593E-2;0,400
0,117;3,160E-2;-0,308;5,243E-3;3,854E-2;0,259;0,164
0,133;3,188E-2;-0,307;1,666E-2;3,984E-2;0,293;7,610E-2
0,150;3,215E-2;-0,307;1,353E-2;3,872E-2;-0,267;2,576E-2
0,167;3,233E-2;-0,306;7,574E-3;4,207E-2;-0,152;0,453
0,183;3,240E-2;-0,305;7,415E-3;5,211E-2;0,303;0,302
0,200;3,258E-2;-0,304;1,802E-2;5,572E-2;0,143;0,188
0,217;3,300E-2;-0,303;1,530E-2;5,459E-2;-0,285;0,121
0,233;3,309E-2;-0,302;4,643E-3;6,171E-2;-7,848E-2;0,375
0,250;3,316E-2;-0,301;1,275E-2;6,663E-2;0,163;0,184
0,267;3,352E-2;-0,300;1,371E-2;6,843E-2;1,680E-2;3,196E-2
0,283;3,362E-2;-0,299;9,405E-3;6,710E-2;-1,700E-2;0,247
0,300;3,383E-2;-0,298;1,490E-2;7,543E-2;0,194;0,326
0,317;3,411E-2;-0,297;1,612E-2;8,098E-2;-4,045E-2;0,302
0,333;3,437E-2;-0,295;1,326E-2;8,265E-2;-2,717E-2;0,187
0,350;3,455E-2;-0,294;1,435E-2;8,885E-2;-6,421E-3;0,228
0,367;3,484E-2;-0,292;1,460E-2;8,998E-2;5,221E-2;8,819E-2
0,383;3,504E-2;-0,291;1,448E-2;9,132E-2;-9,121E-2;0,130
0,400;3,533E-2;-0,289;1,327E-2;9,456E-2;-5,429E-2;0,184
0,417;3,548E-2;-0,288;1,095E-2;9,752E-2;-1,390E-4;0,197
0,433;3,569E-2;-0,286;1,405E-2;0,101;0,146;0,152
0,450;3,595E-2;-0,284;1,598E-2;0,103;6,420E-2;0,260
0,467;3,622E-2;-0,283;1,612E-2;0,108;5,559E-2;0,182
0,483;3,649E-2;-0,281;1,747E-2;0,111;-2,182E-2;0,278
0,500;3,681E-2;-0,279;1,629E-2;0,115;-0,122;0,194
0,517;3,703E-2;-0,277;1,251E-2;0,120;-7,696E-2;0,147
0,533;3,722E-2;-0,275;1,355E-2;0,118;0,139;0,116
0,550;3,748E-2;-0,273;1,757E-2;0,124;6,221E-2;0,193
0,567;3,781E-2;-0,271;1,636E-2;0,127;-1,872E-2;0,233
0,583;3,803E-2;-0,269;1,542E-2;0,129;-6,004E-2;0,271
0,600;3,832E-2;-0,266;1,574E-2;0,137;-8,904E-2;0,269
0,617;3,855E-2;-0,264;1,185E-2;0,139;-0,110;0,119
0,633;3,872E-2;-0,262;1,157E-2;0,140;0,208;0,241
0,650;3,894E-2;-0,259;1,874E-2;0,147;0,160;0,209
0,667;3,934E-2;-0,257;1,900E-2;0,148;5,276E-2;0,268
0,683;3,957E-2;-0,255;1,765E-2;0,153;-7,639E-2;9,856E-2
0,700;3,993E-2;-0,252;1,873E-2;0,155;0,114;0,150
0,717;4,020E-2;-0,249;1,955E-2;0,155;-8,123E-2;0,239
0,733;4,058E-2;-0,247;1,819E-2;0,165;-9,144E-2;0,373
0,750;4,080E-2;-0,244;1,437E-2;0,168;-8,678E-2;2,575E-3
0,767;4,106E-2;-0,241;1,626E-2;0,164;-1,697E-2;0,161
0,783;4,135E-2;-0,238;1,422E-2;0,171;6,621E-2;0,213
0,800;4,154E-2;-0,235;1,683E-2;0,175;0,132;0,171
0,817;4,191E-2;-0,233;2,073E-2;0,173;0,131;0,111
0,833;4,223E-2;-0,230;1,995E-2;0,181;-9,026E-2;0,339
0,850;4,257E-2;-0,227;1,842E-2;0,185;8,842E-2;7,732E-2
0,867;4,284E-2;-0,223;2,145E-2;0,184;2,647E-2;0,357
0,883;4,329E-2;-0,220;2,179E-2;0,194;-3,663E-2;0,274
0,900;4,357E-2;-0,217;1,795E-2;0,198;-6,593E-2;0,205
0,917;4,388E-2;-0,214;2,037E-2;0,195;1,852E-2;0,136
0,933;4,425E-2;-0,210;1,920E-2;0,205;-0,111;0,288
0,950;4,452E-2;-0,207;1,584E-2;0,205;-1,744E-2;-6,519E-3
0,967;4,478E-2;-0,204;1,830E-2;0,203;0,174;7,728E-2
0,983;4,513E-2;-0,200;2,252E-2;0,208;0,122;0,382
1,000;4,553E-2;-0,197;2,236E-2;0,217;2,166E-2;0,261
1,017;4,588E-2;-0,193;2,258E-2;0,218;-4,966E-2;0,418
1,033;4,628E-2;-0,189;2,160E-2;0,227;-2,584E-2;8,394E-2
1,050;4,660E-2;-0,185;2,064E-2;0,226;-2,304E-2;5,041E-2
1,067;4,697E-2;-0,182;2,163E-2;0,222;9,758E-2;-2,132E-2
1,083;4,732E-2;-0,178;2,328E-2;0,230;2,041E-2;0,562
1,100;4,774E-2;-0,174;2,326E-2;0,238;-5,406E-2;9,679E-2
1,117;4,810E-2;-0,170;2,066E-2;0,237;-4,857E-2;0,221
1,133;4,843E-2;-0,166;2,159E-2;0,240;1,001E-3;3,805E-2
1,150;4,882E-2;-0,162;2,141E-2;0,244;6,724E-2;0,307
1,167;4,914E-2;-0,158;2,274E-2;0,245;0,107;4,874E-2
