t;x;y;vx;vy;x_B;y_B;vx_B;vy_B;
0,817;9,370E-2;5,834E-2;0,119;-6,067E-2;0,350;2,566E-2;-9,737E-2;-7,676E-2
0,833;9,563E-2;5,739E-2;0,119;-5,680E-2;0,348;2,430E-2;-9,522E-2;-8,124E-2
0,850;9,766E-2;5,645E-2;0,123;-5,748E-2;0,347;2,295E-2;-9,457E-2;-8,890E-2
0,867;9,974E-2;5,548E-2;0,127;-5,701E-2;0,345;2,133E-2;-0,100;-8,777E-2
0,883;0,102;5,455E-2;0,128;-5,365E-2;0,343;2,003E-2;-0,103;-8,026E-2
0,900;0,104;5,369E-2;0,123;-5,808E-2;0,342;1,866E-2;-9,580E-2;-8,207E-2
0,917;0,106;5,261E-2;0,118;-6,094E-2;0,340;1,729E-2;-9,200E-2;-8,327E-2
0,933;0,108;5,166E-2;0,121;-5,904E-2;0,339;1,588E-2;-9,422E-2;-9,290E-2
0,950;0,110;5,064E-2;0,124;-5,645E-2;0,337;1,419E-2;-9,861E-2;-9,168E-2
0,967;0,112;4,978E-2;0,125;-5,604E-2;0,335;1,283E-2;-9,910E-2;-8,278E-2
0,983;0,114;4,877E-2;0,127;-6,374E-2;0,334;1,143E-2;-9,610E-2;-8,418E-2
1,000;0,116;4,765E-2;0,117;-6,097E-2;0,332;1,002E-2;-8,194E-2;-8,210E-2
1,017;0,118;4,674E-2;0,115;-5,497E-2;0,331;8,698E-3;-8,361E-2;-7,747E-2
1,033;0,120;4,582E-2;0,126;-5,540E-2;0,329;7,437E-3;-9,847E-2;-7,675E-2
1,050;0,122;4,490E-2;0,125;-5,958E-2;0,328;6,139E-3;-9,369E-2;-8,030E-2
1,067;0,124;4,383E-2;0,117;-6,140E-2;0,326;4,761E-3;-9,205E-2;-8,856E-2
1,083;0,126;4,285E-2;0,118;-5,706E-2;0,325;3,187E-3;-9,940E-2;-8,924E-2
1,100;0,128;4,193E-2;0,123;-5,521E-2;0,323;1,786E-3;-9,927E-2;-8,287E-2
