t	x	y	v	a	b	w	
1,833	0,240	0,148	0,186	0,259	0,194	0,307
1,850	0,241	0,145	0,182	0,263	0,190	0,312
1,867	0,242	0,142	0,192	0,266	0,186	0,311
1,883	0,243	0,139	0,192	0,269	0,182	0,311
1,900	0,244	0,136	0,182	0,272	0,178	0,306
1,917	0,246	0,133	0,177	0,275	0,174	0,307
1,933	0,247	0,131	0,175	0,278	0,170	0,307
1,950	0,248	0,128	0,181	0,281	0,166	0,303
1,967	0,249	0,125	0,191	0,284	0,162	0,313
1,983	0,250	0,122	0,192	0,287	0,157	0,314
2,000	0,252	0,119	0,185	0,289	0,153	0,308
2,017	0,253	0,116	0,183	0,292	0,148	0,310
2,033	0,254	0,114	0,179	0,294	0,144	0,310
2,050	0,255	0,111	0,179	0,297	0,139	0,312
2,067	0,257	0,108	0,188	0,299	0,134	0,311
2,083	0,258	0,105	0,186	0,301	0,130	0,314
2,100	0,259	0,102	0,182	0,304	0,125	0,312
2,117	0,260	9,959E-2	0,183	0,306	0,120	0,314
2,133	0,261	9,680E-2	0,180	0,308	0,115	0,316
2,150	0,262	9,408E-2	0,179	0,310	0,111	0,310
2,167	0,264	9,134E-2	0,175	0,312	0,106	0,308
2,183	0,265	8,877E-2	0,177	0,314	0,101	0,310
2,200	0,266	8,604E-2	0,186	0,316	9,615E-2	0,308
2,217	0,267	8,310E-2	0,186	0,317	9,133E-2	0,317
2,233	0,269	8,030E-2	0,180	0,319	8,612E-2	0,310
2,250	0,270	7,759E-2	0,180	0,320	8,155E-2	0,300
2,267	0,271	7,481E-2	0,182	0,322	7,651E-2	0,298
2,283	0,272	7,202E-2	0,179	0,323	7,188E-2	0,306
2,300	0,273	6,931E-2	0,177	0,324	6,664E-2	0,319
2,317	0,275	6,662E-2	0,176	0,325	6,158E-2	0,302
2,333	0,276	6,397E-2	0,176	0,326	5,677E-2	0,293
2,350	0,277	6,131E-2	0,184	0,327	5,194E-2	0,299
2,367	0,278	5,838E-2	0,186	0,328	4,693E-2	0,294
2,383	0,279	5,557E-2	0,180	0,328	4,225E-2	0,287
2,400	0,281	5,285E-2		0,329	3,746E-2	
